row.identity,plot,treatment,average,P,test
DGTSA(16:0/16:2),O,C,168644.3659,P,DGTSA(16:0/16:2)
DGTSA(16:0/16:2),O,H,131774.4469,P,
DGTSA(16:0/18:1),M,C,3934657.458,N,
DGTSA(16:0/18:1),M,H,2989672.6,N,
DGTSA(16:0/18:1),O,C,5354353.875,N,
DGTSA(16:0/18:1),O,H,4615590,N,
DGTSA(16:0/18:2),M,C,7954689.885,N,
DGTSA(16:0/18:2),M,H,7433457.6,N,
DGTSA(16:0/18:2),O,C,9625310.542,N,
DGTSA(16:0/18:2),O,H,6726928.125,N,
DGTSA(16:0/18:3)_A,M,C,370091.0078,P,DGTSA(16:0/18:3)_A
DGTSA(16:0/18:3)_A,M,H,139619.7813,P,
DGTSA(16:0/18:3)_A,O,C,765330.9793,P,DGTSA(16:0/18:3)_A
DGTSA(16:0/18:3)_A,O,H,570441.3313,P,
DGTSA(16:0/18:3)_B,M,C,1202091.882,N,
DGTSA(16:0/18:3)_B,M,H,190157.4897,N,
DGTSA(16:0/18:3)_B,O,C,303827.9036,N,
DGTSA(16:0/18:3)_B,O,H,78477.25977,N,
DGTSA(16:0/18:4),M,C,132424.8587,P,
DGTSA(16:0/18:4),M,H,76049.49062,P,DGTSA(16:0/18:4)
DGTSA(16:0/18:4),O,C,230979.7214,P,DGTSA(16:0/18:4)
DGTSA(16:0/18:4),O,H,107866.675,P,
DGTSA(16:0/19:1);DGTSA(16:1/19:0),M,C,670133.6407,N,
DGTSA(16:0/19:1);DGTSA(16:1/19:0),M,H,532821.3469,N,
DGTSA(16:0/19:1);DGTSA(16:1/19:0),O,C,467091.0209,N,
DGTSA(16:0/19:1);DGTSA(16:1/19:0),O,H,359009.4719,N,
DGTSA(16:1/16:1),M,C,1752674.479,P,DGTSA(16:1/16:1)
DGTSA(16:1/16:1),M,H,1061986.053,P,
DGTSA(16:1/16:1),O,C,3296060.208,P,DGTSA(16:1/16:1)
DGTSA(16:1/16:1),O,H,1766559.113,P,
DGTSA(16:1/18:1)_A,M,C,2105736.229,P,DGTSA(16:1/18:1)_A
DGTSA(16:1/18:1)_A,M,H,1222700.019,P,
DGTSA(16:1/18:1)_A,O,C,2831969.917,P,DGTSA(16:1/18:1)_A
DGTSA(16:1/18:1)_A,O,H,2082014.45,P,
DGTSA(16:1/18:1)_B,M,C,511331.9167,N,
DGTSA(16:1/18:1)_B,M,H,348345.8876,N,
DGTSA(16:1/18:1)_B,O,C,688706.4115,N,
DGTSA(16:1/18:1)_B,O,H,582165.8375,N,
DGTSA(16:1/18:2),M,C,512036.9968,N,
DGTSA(16:1/18:2),M,H,228781.2803,N,
DGTSA(16:1/18:2),O,C,601401.5547,N,
DGTSA(16:1/18:2),O,H,215693.9141,N,
DGTSA(17:0/17:0),M,C,2097422.313,N,
DGTSA(17:0/17:0),M,H,1731370.313,N,
DGTSA(17:0/17:0),O,C,1138789.365,N,
DGTSA(17:0/17:0),O,H,1271303.6,N,
DGTSA(17:0/19:0),M,C,1237889.323,N,
DGTSA(17:0/19:0),M,H,1203960.906,N,
DGTSA(17:0/19:0),O,C,422784.6406,N,
DGTSA(17:0/19:0),O,H,635360.0563,N,
DGTSA(18:0/18:1),M,C,853427.8438,N,
DGTSA(18:0/18:1),M,H,633952.2063,N,
DGTSA(18:0/18:1),O,C,809741.9688,N,
DGTSA(18:0/18:1),O,H,636807.3,N,
DGTSA(18:0/18:2);DGTSA(18:1/18:1),M,C,1507512.417,N,
DGTSA(18:0/18:2);DGTSA(18:1/18:1),M,H,905288.425,N,
DGTSA(18:0/18:2);DGTSA(18:1/18:1),O,C,2006764.375,N,
DGTSA(18:0/18:2);DGTSA(18:1/18:1),O,H,1185781.45,N,
DGTSA(18:1/18:1),M,C,7680510.833,N,
DGTSA(18:1/18:1),M,H,6867575.85,N,
DGTSA(18:1/18:1),O,C,5919137.833,N,
DGTSA(18:1/18:1),O,H,5252154.7,N,
DGTSA(18:1/18:2),M,C,1242488.367,N,
DGTSA(18:1/18:2),M,H,660312.7391,N,
DGTSA(18:1/18:2),O,C,1850125.26,N,
DGTSA(18:1/18:2),O,H,896642.5313,N,
DGTSA(35:0),M,C,1410211.917,N,
DGTSA(35:0),M,H,1503891.088,N,
DGTSA(35:0),O,C,631305.75,N,
DGTSA(35:0),O,H,888270.5127,N,
HexCer(d18:2/16:1)_A,M,C,412742.086,P,HexCer(d18:2/16:1)_A
HexCer(d18:2/16:1)_A,M,H,322893.1,P,
HexCer(d18:2/16:1)_A,O,C,989989.8646,P,HexCer(d18:2/16:1)_A
HexCer(d18:2/16:1)_A,O,H,482982.4063,P,
HexCer(d18:2/16:1)_B,M,C,234337.9792,P,HexCer(d18:2/16:1)_B
HexCer(d18:2/16:1)_B,M,H,213090.5172,P,
HexCer(d18:2/16:1)_B,O,C,782918.2709,P,HexCer(d18:2/16:1)_B
HexCer(d18:2/16:1)_B,O,H,378678.0188,P,
HexCer(d18:2/18:1),M,C,226220.252,N,
HexCer(d18:2/18:1),M,H,257701.4766,N,
HexCer(d18:2/18:1),O,C,341106.3594,N,
HexCer(d18:2/18:1),O,H,234968.9063,N,
HexCer(d34:3),M,C,561889.2292,N,
HexCer(d34:3),M,H,247490.6727,N,
HexCer(d34:3),O,C,389215.6407,N,
HexCer(d34:3),O,H,273196.925,N,
PC(0:0/18:1),M,C,271827.5365,N,
PC(0:0/18:1),M,H,196052.9246,N,
PC(0:0/18:1),O,C,231012.5209,N,
PC(0:0/18:1),O,H,167174.4359,N,
PC(15:0/16:1),M,C,692816.1927,N,
PC(15:0/16:1),M,H,577547.05,N,
PC(15:0/16:1),O,C,588324.8021,N,
PC(15:0/16:1),O,H,395105.3906,N,
PC(16:0/18:2),M,C,2651229.792,P,PC(16:0/18:2)
PC(16:0/18:2),M,H,1451848.175,P,
PC(16:0/18:2),O,C,4001017.042,P,PC(16:0/18:2)
PC(16:0/18:2),O,H,2395052.25,P,
PC(16:1/16:1),M,C,762733.0469,N,
PC(16:1/16:1),M,H,527098.5234,N,
PC(16:1/16:1),O,C,566551.9271,N,
PC(16:1/16:1),O,H,425479.425,N,
PC(16:1/18:1),M,C,3757349.625,N,
PC(16:1/18:1),M,H,2691130.9,N,
PC(16:1/18:1),O,C,3097916.583,N,
PC(16:1/18:1),O,H,2134698.75,N,
PC(17:1/19:1),M,C,12688585.17,N,
PC(17:1/19:1),M,H,11394615.7,N,
PC(17:1/19:1),O,C,7917432.083,N,
PC(17:1/19:1),O,H,7846116.2,N,
PC(18:1/18:1)_A,M,C,475027.3177,N,
PC(18:1/18:1)_A,M,H,423734.3859,N,
PC(18:1/18:1)_A,O,C,409640.9896,N,
PC(18:1/18:1)_A,O,H,359387.2281,N,
PC(18:1/18:1)_B,M,C,237711.5599,N,
PC(18:1/18:1)_B,M,H,217766.186,N,
PC(18:1/18:1)_B,O,C,373686.836,N,
PC(18:1/18:1)_B,O,H,344763.7281,N,
PC(18:1/18:2)_A,M,C,2695473.438,P,PC(18:1/18:2)_A
PC(18:1/18:2)_A,M,H,1338422.425,P,
PC(18:1/18:2)_A,O,C,4227203.708,P,PC(18:1/18:2)_A
PC(18:1/18:2)_A,O,H,2894493.7,P,
PC(18:1/18:2)_B,M,C,3069072.917,P,
PC(18:1/18:2)_B,M,H,4142045.2,P,PC(18:1/18:2)_B
PC(18:1/18:2)_B,O,C,1153360.042,P,
PC(18:1/18:2)_B,O,H,2259644.1,P,PC(18:1/18:2)_B
PC(18:1/19:1),M,C,8024640.25,N,
