,row.identity,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control_Average,Heated_Average,soil_type
209,DGDG(15:0/16:1),0.114488331,0.942493975,107663.8063,373287.7344,265623.9281,Organic
217,DGTSA(15:0/17:0),0.116562698,-1.033094713,-135630.875,316912.0938,452542.9688,Organic
371,TG(56:5),0.117708098,-1.052370774,-54040.32083,252179.7604,306220.0813,Organic
327,PG(18:1/19:1),0.118923406,0.925992377,370413.7268,757247.5456,386833.8188,Organic
58,PC(18:1/18:2)_A,0.121455919,1.043152433,1357051.013,2695473.438,1338422.425,Mineral
329,PI(15:0/15:0),0.123377368,0.916182304,304236.6031,492864.6016,188627.9985,Organic
307,PG(15:0/16:0)_B,0.125269063,0.912960798,552531.9245,1122764.018,570232.0938,Organic
91,PE(16:1/18:2),0.126662805,0.843770665,102408.5076,258976.3842,156567.8766,Mineral
163,TG(53:2),0.127371849,0.994313905,259977.1,808846.6563,548869.5563,Mineral
156,TG(51:4),0.128671081,1.060123903,369017.4541,713133.4792,344116.025,Mineral
105,PE(35:2),0.134842576,0.792058991,1777280.363,4440856.5,2663576.138,Mineral
178,TG(56:3),0.137354496,0.727740976,239655.9463,860750.6979,621094.7516,Mineral
200,DG(16:0/18:2/0:0),0.140526082,0.882792571,449855.4583,1008788.802,558933.3438,Organic
201,DG(16:1/18:1/0:0)_A,0.140526082,0.882792571,449855.4583,1008788.802,558933.3438,Organic
44,DGTSA(18:1/18:2),0.142198025,0.893286525,582175.6281,1242488.367,660312.7391,Mineral
243,PC(15:0/16:1),0.143379007,0.928862208,193219.4115,588324.8021,395105.3906,Organic
158,TG(52:2),0.143644367,0.75457164,1830405.85,9059524.75,7229118.9,Mineral
7,DG(16:0/18:1/0:0),0.144799323,0.68311785,174089.5583,824187.1458,650097.5875,Mineral
151,TG(50:2),0.145329427,0.721102766,1462933.383,4717653.333,3254719.95,Mineral
172,TG(54:5),0.146170452,0.69650746,2167966.017,11513578.17,9345612.15,Mineral
61,PC(18:1/20:4),0.147062092,0.912732621,147543.1469,428652.4766,281109.3297,Mineral
27,DGTSA(16:0/16:1)_B,0.147669805,0.820532393,1664048.167,6228127.417,4564079.25,Mineral
164,TG(53:3),0.147941477,0.965762386,402140.2521,1235098.365,832958.1125,Mineral
4,CoQ8,0.151618873,1.009297107,217946.3854,681446.1354,463499.75,Mineral
303,PE-17:0/17:0),0.152432938,-0.960025861,-823594.2646,911138.4792,1734732.744,Organic
226,DGTSA(16:0/19:1);DGTSA(16:1/19:0),0.155304733,0.861418149,108081.549,467091.0209,359009.4719,Organic
117,PG(15:0/16:1)_B,0.156844135,0.861191542,180888.4161,305312.4906,124424.0744,Mineral
37,DGTSA(16:1/18:1)_B,0.158803644,0.673472578,162986.0291,511331.9167,348345.8876,Mineral
161,TG(52:5),0.161215725,0.983388906,1336617.619,2206812.75,870195.1313,Mineral
155,TG(51:2),0.162994875,0.963381211,673183.9897,1598899.865,925715.875,Mineral
175,TG(55:3),0.163367231,0.824982317,72082.21457,337640.3412,265558.1266,Mineral
60,PC(18:1/19:1),0.166399089,0.717110477,2014494.225,8024640.25,6010146.025,Mineral
213,DGDG(18:1/18:1),0.16768996,0.828279959,172081.1573,492972.9167,320891.7594,Organic
18,DGDG(15:0/17:0),0.168141808,-0.63712452,-247630.3615,717704.4948,965334.8563,Mineral
224,DGTSA(16:0/18:3)_B,0.171621297,0.825669958,225350.6439,303827.9036,78477.25977,Organic
103,PE(18:2/18:2),0.172372746,0.660706909,787989.8552,2223335.24,1435345.384,Mineral
186,TG(58:2),0.173409714,0.686580172,81023.04064,364844.75,283821.7094,Mineral
228,DGTSA(16:1/18:1)_A,0.173529339,0.939766615,749955.4667,2831969.917,2082014.45,Organic
308,PG(15:0/16:1)_A,0.174833551,0.81366002,193133.4315,422926.7409,229793.3094,Organic
177,TG(56:2),0.1748948,0.642144059,133896.7151,566882.6979,432985.9828,Mineral
29,DGTSA(16:0/18:1),0.176549194,0.757016346,944984.8583,3934657.458,2989672.6,Mineral
176,TG(56:1),0.178168611,0.832972181,24628.4677,124507.0482,99878.58048,Mineral
241,HexCer(d34:3),0.178607214,0.816891761,116018.7157,389215.6407,273196.925,Organic
