,row.identity,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control_Average,Heated_Average,soil_type
65,PC(20:4/20:4),0.591485775,0.332325776,26262.24585,186091.4779,159829.2321,Mineral
47,HexCer(d18:2/16:1)_B,0.591968663,0.30801606,21247.46194,234337.9792,213090.5172,Mineral
221,DGTSA(16:0/18:1),0.592982503,0.34866213,738763.875,5354353.875,4615590,Organic
56,PC(18:1/18:1)_A,0.59544405,0.240080352,51292.93179,475027.3177,423734.3859,Mineral
144,TG(48:0),0.595748289,0.366919818,111512.3563,687776.5313,576264.175,Mineral
259,PE(14:0/16:1);PE(15:0/15:1)_A,0.606175684,-0.352164752,-144691.4104,971002.1146,1115693.525,Organic
25,DGTSA(15:0/17:0),0.614167731,0.28519624,59858.8125,698969.6406,639110.8281,Mineral
194,Cer(d18:1/16:0),0.61717535,-0.364276986,-83468.37497,320101.7657,403570.1406,Organic
256,PC(19:1/19:1),0.620070861,-0.339928748,-1756666.667,28383333.33,30140000,Organic
343,TG(50:2),0.621085705,-0.303842162,-217328.1625,2629554.938,2846883.1,Organic
338,TG(48:2),0.622701678,0.330300056,534736.05,4637111.25,4102375.2,Organic
110,PE-16:0/15:1),0.623062062,0.31921411,127549.668,599571.4297,472021.7617,Mineral
315,PG(16:0/17:0),0.623512815,0.312229076,39387.80918,195070.9971,155683.1879,Organic
138,PI(16:0/17:0),0.624615828,0.288078867,23051.25034,74118.7544,51067.50405,Mineral
109,PE-15:0/15:1)_B,0.625400588,0.316878047,527202.3406,2169771.313,1642568.972,Mineral
183,TG(56:8),0.626070492,0.342551,117494.7185,352402.8646,234908.1461,Mineral
337,TG(48:1),0.627987178,0.322996062,249809.8167,2348766.167,2098956.35,Organic
336,TG(48:0),0.630018388,0.296746336,44297.06718,450100.1797,405803.1125,Organic
98,PE(18:1/18:1),0.645981584,0.236748071,1829276.75,11758351.75,9929075,Mineral
252,PC(18:1/19:1),0.648072907,-0.328847829,-519711.1583,4501530.292,5021241.45,Organic
304,PE(P-16:0/16:1),0.649382216,0.284092004,194720.1354,1066042.01,871321.875,Organic
133,PG(18:0/18:1),0.650137087,0.212069859,49892.86252,292973.8047,243080.9422,Mineral
106,PE(36:1),0.651686245,0.223287475,134800.9146,964168.1146,829367.2,Mineral
348,TG(51:4),0.653555712,-0.276978305,-49893.69165,437776.5209,487670.2125,Organic
381,TG(59:2),0.659965648,0.279724509,7665.424481,85790.25651,78124.83203,Organic
185,TG(58:11),0.663894165,-0.186025225,-95226.12659,233420.1211,328646.2477,Mineral
351,TG(52:3),0.66688079,-0.268660887,-466952.6167,6465538.083,6932490.7,Organic
383,TG(60:2),0.671631928,-0.261347352,-16209.08777,145062.2357,161271.3234,Organic
368,TG(56:1),0.671651973,0.287162703,7754.493002,111589.4571,103834.9641,Organic
43,DGTSA(18:1/18:1),0.675144307,0.297552772,812934.9833,7680510.833,6867575.85,Mineral
55,PC(17:1/19:1),0.677306497,0.238435193,1293969.467,12688585.17,11394615.7,Mineral
279,PE(16:1/17:0);PE(15:0/18:1),0.677374717,-0.292390573,-513780.2542,2872503.521,3386283.775,Organic
366,TG(54:7),0.679784513,0.262071402,38484.30417,602811.6979,564327.3938,Organic
360,TG(54:1),0.687913574,0.258993029,74261.54271,506814.6615,432553.1188,Organic
306,PG(15:0/16:0)_A,0.691261509,0.259242005,36327.40286,234432.2982,198104.8953,Organic
369,TG(56:2),0.691587769,0.281861049,29252.81459,432519.2552,403266.4406,Organic
270,PE(15:1/16:1)_A,0.692741625,-0.269929115,-41585.64765,276952.7774,318538.425,Organic
287,PE(17:1/17:1),0.694149285,-0.260100526,-77792.84165,652321.8959,730114.7375,Organic
249,PC(18:1/18:1)_B,0.701054677,0.252705512,28923.10783,373686.836,344763.7281,Organic
352,TG(52:4),0.708379117,0.239445639,265251.0333,5035799.583,4770548.55,Organic
356,TG(53:3),0.708601597,0.236148781,32332.84583,1102531.208,1070198.363,Organic
11,DG(17:0/0:0/17:0),0.723772063,0.194830881,14880.36458,255497.0209,240616.6563,Mineral
264,PE(15:0/16:1)_A,0.72377393,-0.246131314,-820175.0917,7315217.708,8135392.8,Organic
198,DG(16:0/17:0/0:0),0.737744528,-0.21147895,-14102.80836,375636.7917,389739.6,Organic
57,PC(18:1/18:1)_B,0.740356315,0.158382976,19945.37395,237711.5599,217766.186,Mineral
95,PE(17:1/17:1),0.740549844,0.172881939,95197.41562,999224.375,904026.9594,Mineral
126,PG(16:0/19:1),0.747199249,0.157504571,76421.55554,604274.8204,527853.2649,Mineral
167,TG(53:6),0.755359707,-0.176961905,-18775.01118,199665.3334,218440.3446,Mineral
108,PE-15:0/15:1)_A,0.759840092,0.190996529,248129.1177,1895088.146,1646959.028,Mineral
345,TG(50:4),0.760096852,0.19065405,48463.8229,516122.3542,467658.5313,Organic
211,DGDG(15:0/18:1),0.762207367,-0.200867249,-20404.22501,244025.4063,264429.6313,Organic
70,PE(15:0/15:0),0.762784953,-0.156579389,-278960.8667,3273296.646,3552257.513,Mineral
17,DGDG(15:0/16:1),0.773096117,0.160298406,14992.06277,250710.5886,235718.5258,Mineral
282,PE(16:1/18:1),0.773998742,0.189152664,343754.4875,3816350.063,3472595.575,Organic
45,DGTSA(35:0),0.777422444,-0.158515784,-93679.17083,1410211.917,1503891.088,Mineral
326,PG(18:1/18:1),0.781503169,0.186598097,204609.1386,1966766.464,1762157.325,Organic
48,HexCer(d18:2/18:1),0.783258272,-0.148217861,-31481.22462,226220.252,257701.4766,Mineral
342,TG(50:1),0.783276177,-0.168644736,-44375.09792,870989.0521,915364.15,Organic
260,PE(14:0/16:1);PE(15:0/15:1)_B,0.785387874,-0.17860053,-81752.79792,917160.8646,998913.6625,Organic
147,TG(48:3),0.79129251,0.125252554,293608.6958,4063777.833,3770169.138,Mineral
349,TG(52:1),0.791533226,-0.176838659,-61532.78127,739470.4688,801003.25,Organic
347,TG(51:2),0.796107071,0.159863526,33288.02292,1035130.573,1001842.55,Organic
265,PE(15:0/16:1)_B,0.808073628,0.162579169,69137.46667,927336.3854,858198.9188,Organic
333,TG(47:1),0.810024568,0.14803733,16060.64061,394668.1407,378607.5,Organic
193,Cer(d18:0/16:0),0.811565553,-0.169291879,-55197.76771,545944.0261,601141.7938,Organic
204,DG(18:1/0:0/18:1),0.816401259,0.148352766,90666.18125,1427589.469,1336923.288,Organic
263,PE(15:0/16:0),0.82751015,-0.150037613,-81511.69062,948275.5469,1029787.238,Organic
370,TG(56:3),0.840737551,-0.143045656,-21090.89895,427599.4636,448690.3625,Organic
30,DGTSA(16:0/18:2),0.841795002,0.110294358,521232.2854,7954689.885,7433457.6,Mineral
75,PE(15:0/17:1),0.843353291,0.104910646,387282.2583,5898201.708,5510919.45,Mineral
362,TG(54:3),0.843766992,-0.139921123,-450476.6,13800000,14250476.6,Organic
280,PE(16:1/17:1)_A,0.84490968,-0.133437475,-112200.5458,1692070.292,1804270.838,Organic
268,PE(15:0/17:1);PE(16:0/16:1),0.858404927,-0.126851114,-238405.6667,3106749.583,3345155.25,Organic
93,PE(17:0/17:0),0.864481058,0.087653821,106571.6604,2088951.167,1982379.506,Mineral
344,TG(50:3),0.875654681,0.095306375,85703.44583,2194403.396,2108699.95,Organic
355,TG(53:2),0.87641358,0.098715163,11184.30208,683221.2396,672036.9375,Organic
179,TG(56:5),0.878242747,0.08772583,38286.31407,665724.6875,627438.3735,Mineral
363,TG(54:4),0.883191045,-0.105729955,-217119.4667,10817589.83,11034709.3,Organic
289,PE(17:1/19:1),0.887294662,0.095697293,132482.4542,3131549.854,2999067.4,Organic
81,PE(16:0/17:0),0.891634418,-0.074122213,-38748.15674,746681.0573,785429.2141,Mineral
274,PE(16:0/17:1),0.896662474,-0.087500955,-167938.6833,3039053.167,3206991.85,Organic
40,DGTSA(17:0/19:0),0.89852221,0.067850519,33928.41667,1237889.323,1203960.906,Mineral
85,PE(16:0/19:1),0.90040345,0.066213416,104183.4416,2456710.792,2352527.35,Mineral
215,DGDG(19:1/19:1),0.906294309,0.07282018,42126.74167,5030029.542,4987902.8,Organic
74,PE(15:0/17:0),0.910455931,0.056425242,138745.8417,3486328.917,3347583.075,Mineral
104,PE(19:1/19:1),0.917509158,0.050870057,130998.15,4004403.438,3873405.288,Mineral
15,DGDG(14:0/18:1);DGDG(15:0/17:1),0.934318762,-0.039017857,-10313.05417,815625.0208,825938.075,Mineral
278,PE(16:1/16:1),0.939402325,0.050587198,94198.5875,4433039.438,4338840.85,Organic
247,PC(17:1/19:1),0.954608856,0.040189995,71315.88333,7917432.083,7846116.2,Organic
94,PE(17:0/18:1),0.955918137,-0.027760822,-41176.80213,1886591.448,1927768.25,Mineral
149,TG(49:2),0.958509878,-0.035268032,-9470.377083,737920.1042,747390.4813,Mineral
134,PG(18:1/18:1),0.95870548,0.024037814,42410.83322,1850550.271,1808139.438,Mineral
272,PE(15:1/17:1),0.966050942,0.026578348,13255.02289,484517.5573,471262.5344,Organic
80,PE(15:1/17:1),0.970967058,0.022443887,13687.92917,831730.862,818042.9328,Mineral
361,TG(54:2),0.973628674,-0.023526223,-25693.50833,3178070.667,3203764.175,Organic
365,TG(54:6),0.974838018,-0.0197029,-52676.45,7525484.25,7578160.7,Organic
379,TG(58:3),0.977441908,0.019445135,681.9445483,149137.3945,148455.45,Organic
67,PE(14:0/16:1);PE(15:0/15:1)_A,0.978408355,0.014511807,15431.61562,1442097.219,1426665.603,Mineral
107,PE-15:0/15:0),0.978834779,0.015114924,26139.64583,2241152.052,2215012.406,Mineral
63,PC(19:1/0:0),0.982903517,-0.011410455,-3041.254143,290281.6224,293322.8766,Mineral
293,PE(18:1/19:1)_A,0.988280553,-0.009288365,-6434.081167,1421266.469,1427700.55,Organic
340,TG(49:1),0.989034786,0.008483177,1073.75833,475850.7709,474777.0125,Organic
372,TG(56:6)_A,0.996324957,0.00300298,313.90832,260781.6771,260467.7688,Organic
180,TG(56:6)_A,0.997060637,-0.001840716,-1174.190637,806817.3984,807991.5891,Mineral
367,TG(55:3),0.999984532,-1.21E-05,-0.731256667,312453.3438,312454.075,Organic
