row m/z,row retention time,row identity,Blanch_Nat_Lip_C_12_AB_M_17_POS,Blanch_Nat_Lip_C_19_AB_O_26_POS,Blanch_Nat_Lip_H_17_AB_O_22_POS,Blanch_Nat_Lip_H_30_AB_M_11_POS,Blanch_Nat_Lip_C_19_AB_M_16_POS,Blanch_Nat_Lip_C_27_AB_O_21_POS,Blanch_Nat_Lip_C_12_AB_O_25_POS,Blanch_Nat_Lip_C_14_AB_M_27_POS,Blanch_Nat_Lip_C_14_AB_O_09_POS,Blanch_Nat_Lip_C_30_AB_M_14_POS,Blanch_Nat_Lip_C_34_AB_O_10_POS,Blanch_Nat_Lip_C_4_AB_M_08_POS,Blanch_Nat_Lip_C_4_AB_O_04_POS,Blanch_Nat_Lip_H_28_AB_M_03_POS,Blanch_Nat_Lip_H_11_AB_M_13_POS,Blanch_Nat_Lip_H_17_AB_M_18_POS,Blanch_Nat_Lip_H_26_AB_M_12_POS,Blanch_Nat_Lip_C_7_AB_M_07_POS,Blanch_Nat_Lip_H_11_AB_O_24_POS,Blanch_Nat_Lip_H_2B_M_02_POS,Blanch_Nat_Lip_H_2_AB_M_23_POS,Blanch_Nat_Lip_H_32_AB_M_20_POS,Blanch_Nat_Lip_H_2_AB_O_15_POS,Blanch_Nat_Lip_H_32_AB_O_19_POS,Blanch_Nat_Lip_H_34_AB_M_01_POS,Blanch_Nat_Lip_H_4_AB_O_06_POS,Blanch_Nat_Lip_H_4_AB_M_05_POS
740.6386294,21.94637037,DGTSA(17:0/17:0),1710767.75,811562.3125,1497859.375,1364636.875,1313533.25,1345409.5,1054865.875,2068946.875,820209,2318676.25,1136399.875,3608911,1664289.625,1792051.375,1739974.125,1562718.5,624304.75,1563698.75,797495.625,2576885,1619313.5,2766264.5,1346210.25,1203904.25,1465207.75,1511048.5,1802346.75
768.6696267,23.14659877,DGTSA(17:0/19:0),965908.875,273038.7188,676503.625,878079.625,869453.625,531772.5625,358251.0625,1139737,345313.375,1588304.875,488795.5625,2047343.75,539536.5625,1174354.25,779076.625,981025.125,514643.6875,816587.8125,368339.5313,1806675.125,1143868.25,2383454,638715.8125,869493.5625,1205828,623747.75,1172604.375
766.6536686,22.73008025,DGTSA(18:0/18:1),753003,811994.875,874307.4375,640292.8125,606861.5625,733451.125,767393.375,673075.3125,550129.0625,699777.625,1229835.25,1763634,765648.125,914185.9375,356645.75,498017.125,450629.3125,624215.5625,289092.6875,672250.0625,623573.375,839902.4375,703326.625,563771.8125,727225.8125,753537.9375,616799.4375
764.6383558,21.78033951,DGTSA(18:0/18:2);DGTSA(18:1/18:1),631456.6875,2445582.75,1773014.25,2385325.75,2308828.5,869759.0625,2234994.25,3133007.75,1110797.625,939422.9375,4445780.5,1721205.125,933672.0625,985874.6875,345844.4375,467504.7813,473604.0625,311153.5,883118.3125,461248.8438,636694.125,894039.625,1205990.25,1056513.25,1580563.375,1010271.188,822184.5625
764.6383641,21.40531481,DGTSA(18:1/18:1),6463565.5,4742473.5,5824740.5,7220273.5,5067412.5,6774378.5,6004423.5,7194540.5,4192885.5,5979712.5,8573350,1.65E+07,5227316,7308575.5,6927130.5,4657392.5,4831205,4877834,2352958.5,7816737.5,6955429,7375684.5,6108946,5596890,7492061.5,6377238.5,8091269
762.622425,20.1948642,DGTSA(18:1/18:2),869001.3125,3108932,946836.625,616360.5625,2605018.5,1777029.875,1959285.875,1341699.25,824551.0625,1320107.25,2562369.5,1097534.625,868583.25,941698.5625,189901.5781,631810,500771.2813,221569.2656,348428.5313,388556.4375,415422.6875,1892785.625,1354202.125,931634.6875,520042.0625,902110.6875,505778.5938
754.6540207,22.90151852,DGTSA(35:0),1432265.125,463385.5938,1002072.188,1324700.125,827412.625,722876.5625,468906.625,1461674.875,476272.1563,1193712,776453.6875,2616696,879939.875,1740536.625,1415796.75,1287380.875,573832.875,929510.875,466368,1718545.125,1538054,2866760,961644.4375,1026026.313,1038901.625,985241.625,1534402.875
696.5398198,17.35640123,HexCer(d18:2/16:1)_A,254320.6094,1019944.75,556015.6875,291518.125,367965.7813,681907.0625,820460.5,384025.4063,1211011.875,703252.1875,1319818.875,468048.6563,886796.125,472683.4688,200957.3281,276967.2813,276366.9688,298839.875,337571.2813,504413.9688,231565.0781,277438.4375,570766.375,289902.8125,362010.2813,660655.875,335010.0625
696.539726,17.5325679,HexCer(d18:2/16:1)_B,150870.5156,849148.8125,413159.3125,199813.0313,220862.5625,533567.5625,674160.875,242090.6875,1000477.563,358097.6563,1011652,279903.4375,628502.8125,322089.9063,178530.3438,137901.7969,193931.9063,154203.0156,336488.4375,335006.9063,170330.2344,162561.7188,431256.3125,275927.8438,223547.6563,436558.1875,207191.6719
724.570943,19.27141975,HexCer(d18:2/18:1),50144.41797,207800,484796.6563,133358.625,100802.5156,305929.4375,115351.2188,310997.7188,199608.4688,613244.9375,1035542,199494.3281,182407.0313,352355.125,66597.8125,172575.6719,383604.125,82637.59375,214852.9375,766077.75,40630.16797,367243.9063,139249.7969,211792.7969,252055,124152.3438,42516.58203
696.5396339,17.09488889,HexCer(d34:3),324940.4688,462287.4688,338129.375,397523.25,295691.5938,298715.9688,493537.875,962489.375,240650.0625,799288.25,604516.4375,721970.0625,235586.0313,300026.125,116827.4375,209731.1875,103923.6953,266955.625,225360.8281,122267.8281,191127.8438,585780.875,166645.3281,433466.5313,303202.4063,202382.5625,144496.0781
522.3547719,7.618621605,PC(0:0/18:1),144911.8594,240457.4844,67968.57813,65188.80078,58185.96094,85855.96875,220179.4844,89727.02344,242421.7188,137191.875,194065.0625,637028.5625,403095.4063,481210.375,148351.7656,69607.99219,79620.0625,563919.9375,39365.79688,545806.375,132902.5938,116132.7813,384625.75,46190.55469,171335.375,297721.5,150373.125
718.5368961,17.23230247,PC(15:0/16:1),590675.5,483528.6875,352135.2188,389735.4688,447260.4375,334421.0313,734765,495609.875,504979.0938,521155.2813,712959.9375,1356454.125,759295.0625,683304.1875,589616.5,319244.6875,316151.1563,745741.9375,89731.07813,1313515.75,673016.0625,502645.5,685883.625,401769.1875,310563.625,446007.8438,677677.5625
758.5677837,19.13056173,PC(16:0/18:2),1593974.25,3370811.75,1957278.875,1489101.125,1677472,2630324.25,5368835,1661999.75,5001882.5,4696956,3504317,3578908.75,4129931.75,1909552.875,990832.0625,858338.125,533514.8125,2698068,1270877,2787700.25,1472870.25,1891763,3270439.25,1624094.125,798289.125,3852572,1786520.125
730.5370043,16.74606173,PC(16:1/16:1),510672.6875,496522.375,467436.7188,346831.625,552626.4375,356930.9375,552330.9375,574224.4375,565082.9375,521991.5938,766132.1875,1589735.875,662312.1875,712747.8125,477831.375,299646.6875,239462.6406,827147.25,124884.625,979958.25,585465.8125,507404.5938,634754,433712.6563,371229.8125,466609.125,750406.625
758.5679768,18.80320988,PC(16:1/18:1),2888089.25,3023842.25,2224427.75,1587435.5,1897424,2152913,2797695.5,3049456,3570044.5,3143843,3953991.5,7181930,3089012.75,3347052.25,2395724.75,1930036.125,1375410.5,4383355.5,820037.75,4805993.5,3340634.75,2281214,3396458.75,1804670.25,1977413.625,2427899.25,3870394
786.5988442,21.32365432,PC(17:1/19:1),1.25E+07,6699503,6955852.5,5512095.5,7555241,6501528.5,9107102,9276270,7229123,1.12E+07,8556476,2.48E+07,9410860,1.24E+07,1.58E+07,9335465,8296768.5,1.08E+07,4399335,2.23E+07,1.04E+07,1.14E+07,1.05E+07,7609478.5,4401828,9765915,1.41E+07
789.6079678,20.69600617,PC(18:1/18:1)_A,461426.625,360435.4375,350509.9063,237090.4375,335436.75,350391.0938,348614.9063,446124.5938,474495.5938,489708.9688,382524.4063,676360.8125,541384.5,532220.5625,367215.4375,278324.625,185247.8125,441106.1563,215676.7344,1069079.125,474679.9375,319704.7813,433029.6875,293001.5,225655.7031,504718.3125,548125.4375
789.6083284,20.8069321,PC(18:1/18:1)_B,183877.2656,360435.4375,350509.9063,92949.6875,142040.625,350391.0938,290419.5938,203254.1406,474495.5938,209741.2969,224994.7969,375256.4375,541384.5,262101.9219,139907.1094,135145.0469,85216.53125,312099.5938,215676.7344,573162.3125,222092.0469,229962.3281,420576.625,232337.0625,110308.0313,504718.3125,326816.8438
784.583432,19.35933333,PC(18:1/18:2)_A,2111168,3437406.75,3244961,948446.5625,1679265.875,3826672.5,5085937,1482087.125,3775093.75,6190864.5,3969652.75,2788365,5268459.5,1715072,1169488.125,1121339.375,809791.5,1921090.125,1880752.125,1916497.5,1543120.625,2400006.25,3588305,2053631.375,537260.3125,3704819,1223202
784.5832502,19.88801852,PC(18:1/18:2)_B,4007664,1008558.063,2042908.625,2063346.125,2706308.75,1001447.063,888892.9375,2384944,1328186,3052909,1003337.688,3910298.75,1689738.5,4421939.5,5617102,3261339.5,973742.3125,2352313,1325659.875,1.45E+07,3057365.5,2148959.75,2765288,2372690,845703.8125,2791674,4530953.5
