"","row.identity","charge","type","frequency"
"127","DG(16:0/18:1/0:0)","POS","C_O",491842.3125
"128","DG(16:0/18:1/0:0)","POS","C_O",632846.0625
"129","DG(16:0/18:1/0:0)","POS","C_O",559880.1875
"130","DG(16:0/18:1/0:0)","POS","C_O",525212.875
"131","DG(16:0/18:1/0:0)","POS","H_O",477301.625
"132","DG(16:0/18:1/0:0)","POS","H_O",535885.0625
"133","DG(16:0/18:1/0:0)","POS","H_O",662728
"134","DG(16:0/18:1/0:0)","POS","H_O",435852.3125
"135","DG(16:0/18:1/0:0)","POS","H_O",715047.0625
"136","DG(16:0/18:2/0:0)","POS","C_M",804211.4375
"137","DG(16:0/18:2/0:0)","POS","C_M",561385.0625
"138","DG(16:0/18:2/0:0)","POS","C_M",550495.25
"139","DG(16:0/18:2/0:0)","POS","C_M",1159439.375
"140","DG(16:0/18:2/0:0)","POS","C_M",455949.1875
"141","DG(16:0/18:2/0:0)","POS","C_M",1201395.25
"142","DG(16:0/18:2/0:0)","POS","H_M",323625.9063
"143","DG(16:0/18:2/0:0)","POS","H_M",808519.4375
"144","DG(16:0/18:2/0:0)","POS","H_M",224578.1406
"145","DG(16:0/18:2/0:0)","POS","H_M",612798.0625
"146","DG(16:0/18:2/0:0)","POS","H_M",328854.4063
"147","DG(16:0/18:2/0:0)","POS","H_M",318295.375
"148","DG(16:0/18:2/0:0)","POS","H_M",341720.5313
"149","DG(16:0/18:2/0:0)","POS","H_M",547671.375
"150","DG(16:0/18:2/0:0)","POS","H_M",305407.125
"151","DG(16:0/18:2/0:0)","POS","H_M",337081.4063
"152","DG(16:0/18:2/0:0)","POS","C_O",704189.5
"153","DG(16:0/18:2/0:0)","POS","C_O",681085.5
"154","DG(16:0/18:2/0:0)","POS","C_O",2227875.25
"155","DG(16:0/18:2/0:0)","POS","C_O",829226.6875
"156","DG(16:0/18:2/0:0)","POS","C_O",1030857.625
"157","DG(16:0/18:2/0:0)","POS","C_O",579498.25
"158","DG(16:0/18:2/0:0)","POS","H_O",606755.3125
"159","DG(16:0/18:2/0:0)","POS","H_O",376896.5
"160","DG(16:0/18:2/0:0)","POS","H_O",829366.1875
"161","DG(16:0/18:2/0:0)","POS","H_O",382138.5313
"162","DG(16:0/18:2/0:0)","POS","H_O",599510.1875
"163","DG(16:1/18:1/0:0)_A","POS","C_M",804211.4375
"164","DG(16:1/18:1/0:0)_A","POS","C_M",561385.0625
"165","DG(16:1/18:1/0:0)_A","POS","C_M",550495.25
"166","DG(16:1/18:1/0:0)_A","POS","C_M",1159439.375
"167","DG(16:1/18:1/0:0)_A","POS","C_M",455949.1875
"168","DG(16:1/18:1/0:0)_A","POS","C_M",1201395.25
"169","DG(16:1/18:1/0:0)_A","POS","H_M",323625.9063
"170","DG(16:1/18:1/0:0)_A","POS","H_M",808519.4375
"171","DG(16:1/18:1/0:0)_A","POS","H_M",224578.1406
"172","DG(16:1/18:1/0:0)_A","POS","H_M",612798.0625
"173","DG(16:1/18:1/0:0)_A","POS","H_M",328854.4063
"174","DG(16:1/18:1/0:0)_A","POS","H_M",318295.375
"175","DG(16:1/18:1/0:0)_A","POS","H_M",341720.5313
"176","DG(16:1/18:1/0:0)_A","POS","H_M",547671.375
"177","DG(16:1/18:1/0:0)_A","POS","H_M",305407.125
"178","DG(16:1/18:1/0:0)_A","POS","H_M",337081.4063
"179","DG(16:1/18:1/0:0)_A","POS","C_O",704189.5
"180","DG(16:1/18:1/0:0)_A","POS","C_O",681085.5
"181","DG(16:1/18:1/0:0)_A","POS","C_O",2227875.25
"182","DG(16:1/18:1/0:0)_A","POS","C_O",829226.6875
"183","DG(16:1/18:1/0:0)_A","POS","C_O",1030857.625
"184","DG(16:1/18:1/0:0)_A","POS","C_O",579498.25
"185","DG(16:1/18:1/0:0)_A","POS","H_O",606755.3125
"186","DG(16:1/18:1/0:0)_A","POS","H_O",376896.5
"187","DG(16:1/18:1/0:0)_A","POS","H_O",829366.1875
"188","DG(16:1/18:1/0:0)_A","POS","H_O",382138.5313
"189","DG(16:1/18:1/0:0)_A","POS","H_O",599510.1875
"190","DG(16:1/18:1/0:0)_B","POS","C_M",538058.3125
"191","DG(16:1/18:1/0:0)_B","POS","C_M",343039.5
"192","DG(16:1/18:1/0:0)_B","POS","C_M",345898.9688
"193","DG(16:1/18:1/0:0)_B","POS","C_M",577859.625
"194","DG(16:1/18:1/0:0)_B","POS","C_M",606121.5
"195","DG(16:1/18:1/0:0)_B","POS","C_M",319599.3438
"196","DG(16:1/18:1/0:0)_B","POS","H_M",266162.8438
"197","DG(16:1/18:1/0:0)_B","POS","H_M",540487.8125
"198","DG(16:1/18:1/0:0)_B","POS","H_M",224081.6563
"199","DG(16:1/18:1/0:0)_B","POS","H_M",291894.5
"200","DG(16:1/18:1/0:0)_B","POS","H_M",220335.4375
"201","DG(16:1/18:1/0:0)_B","POS","H_M",322477.5
"202","DG(16:1/18:1/0:0)_B","POS","H_M",386573.9688
"203","DG(16:1/18:1/0:0)_B","POS","H_M",230543.6094
"204","DG(16:1/18:1/0:0)_B","POS","H_M",389225.5
"205","DG(16:1/18:1/0:0)_B","POS","H_M",302792.6875
"206","DG(16:1/18:1/0:0)_B","POS","C_O",206672.6875
"207","DG(16:1/18:1/0:0)_B","POS","C_O",525194.875
"208","DG(16:1/18:1/0:0)_B","POS","C_O",157386.8906
"209","DG(16:1/18:1/0:0)_B","POS","C_O",235016.625
"210","DG(16:1/18:1/0:0)_B","POS","C_O",282970.9375
"211","DG(16:1/18:1/0:0)_B","POS","C_O",191438.7969
"212","DG(16:1/18:1/0:0)_B","POS","H_O",214647.3438
"213","DG(16:1/18:1/0:0)_B","POS","H_O",138436.7031
"214","DG(16:1/18:1/0:0)_B","POS","H_O",192709.1406
"215","DG(16:1/18:1/0:0)_B","POS","H_O",173310.9375
"216","DG(16:1/18:1/0:0)_B","POS","H_O",268490.1563
"217","DG(17:0/0:0/17:0)","POS","C_M",265774.375
"218","DG(17:0/0:0/17:0)","POS","C_M",167122.3906
"219","DG(17:0/0:0/17:0)","POS","C_M",239617.8438
"220","DG(17:0/0:0/17:0)","POS","C_M",355569.9063
"221","DG(17:0/0:0/17:0)","POS","C_M",336172.8438
"222","DG(17:0/0:0/17:0)","POS","C_M",168724.7656
"223","DG(17:0/0:0/17:0)","POS","H_M",247981.0781
"224","DG(17:0/0:0/17:0)","POS","H_M",293284.5313
"225","DG(17:0/0:0/17:0)","POS","H_M",228194.6406
"226","DG(17:0/0:0/17:0)","POS","H_M",198273
"227","DG(17:0/0:0/17:0)","POS","H_M",168171
"228","DG(17:0/0:0/17:0)","POS","H_M",306911.7813
"229","DG(17:0/0:0/17:0)","POS","H_M",212574.3438
