"","row.identity","soil_type","Pvalues","Standardized_Difference_Control_minus_Heated","Actual_Difference_Control_minus_Heated","Control_Average","Heated_Average","Formula","Category","Main Class","Sub Class"
"35","DGDG(15:0/17:0)","Mineral",0.168141808075932,-0.637124519813316,-247630.36145,717704.4948,965334.85625,"C47H92N1O15","Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Glycosyldiacylglycerols [GL0501]"
"36","DGDG(15:0/17:0)","Organic",0.0913678206307429,-1.08607723735582,-221669.70885,351301.21615,572970.925,NA,NA,NA,NA
"37","DGDG(15:0/18:1)","Mineral",0.331614096348659,-0.457144060598658,-70872.96459,306879.2448,377752.20939,"C48H92N1O15","Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Glycosyldiacylglycerols [GL0501]"
"38","DGDG(15:0/18:1)","Organic",0.762207367279861,-0.200867249450041,-20404.22501,244025.40625,264429.63126,NA,NA,NA,NA
"39","DGDG(15:0/19:1)","Mineral",0.0514892442680469,-0.844681765969391,-198597.136426667,354790.401083333,553387.53751,"C49H94N1O15","Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Glycosyldiacylglycerols [GL0501]"
"40","DGDG(15:0/19:1)","Organic",0.232207664056979,-0.858601912684309,-89069.5518366667,155919.235683333,244988.78752,NA,NA,NA,NA
"41","DGDG(18:1/18:1)","Mineral",0.00244477322908412,1.6057804720848,186339.98856,424250.13545,237910.14689,NA,NA,NA,NA
"42","DGDG(18:1/18:1)","Organic",0.167689960116676,0.828279959366043,172081.157283333,492972.916683333,320891.7594,NA,NA,NA,NA
"43","DGDG(18:1/19:1)","Mineral",0.0020003923121361,1.47356040561292,141320.591955333,306643.286483333,165322.694528,NA,NA,NA,NA
"44","DGDG(18:1/19:1)","Organic",0.000971106341511571,1.67604851278457,182398.83751,451990.64065,269591.80314,NA,NA,NA,NA
"45","DGDG(19:1/19:1)","Mineral",0.0405990688557688,1.03576857863282,1497018.3125,5448681.25,3951662.9375,"C53H100N1O15","Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Glycosyldiacylglycerols [GL0501]"
"46","DGDG(19:1/19:1)","Organic",0.906294309177134,0.0728201797661659,42126.7416666672,5030029.54166667,4987902.8,"C53H100N1O15","Glycerolipids [GL]","Glycosyldiradylglycerols [GL05]","Glycosyldiacylglycerols [GL0501]"
"47","DGTSA(14:0/18:3)","Mineral",0.00114327611239479,1.79790782244502,60321.7976443,76696.4349,16374.6372557,NA,NA,NA,NA
"48","DGTSA(14:0/18:3)","Organic",0.0661965931974128,1.09733338241843,130712.899224333,163423.589848333,32710.690624,"C42H76N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"49","DGTSA(15:0/17:0)","Mineral",0.614167730982981,0.285196239728773,59858.8125033333,698969.640633333,639110.82813,"C42H82N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"50","DGTSA(15:0/17:0)","Organic",0.116562697561664,-1.03309471288829,-135630.874993333,316912.093766667,452542.96876,"C42H82N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"51","DGTSA(16:0/16:1)_A","Mineral",0.54334182925394,0.361492335727017,143607.891616667,1133263.94791667,989656.0563,NA,NA,NA,NA
"52","DGTSA(16:0/16:1)_A","Organic",0.508757037855929,-0.426454140600562,-69647.825,723395.3125,793043.1375,NA,NA,NA,NA
"53","DGTSA(16:0/16:1)_B","Mineral",0.147669804643409,0.820532393218417,1664048.16666667,6228127.41666667,4564079.25,NA,NA,NA,NA
"54","DGTSA(16:0/16:1)_B","Organic",0.0575998739000951,1.10884833927835,3115165.5,10362839.5,7247674,NA,NA,NA,NA
"55","DGTSA(16:0/16:2)","Mineral",0.0195100712581223,1.33225639305223,48404.6032003333,101805.744803333,53401.141603,NA,NA,NA,NA
"56","DGTSA(16:0/16:2)","Organic",0.3785234289986,0.614216165437309,36869.9190266667,168644.365916667,131774.44689,NA,NA,NA,NA
"57","DGTSA(16:0/18:1)","Mineral",0.176549193963911,0.757016346212919,944984.858333333,3934657.45833333,2989672.6,NA,NA,NA,NA
"58","DGTSA(16:0/18:1)","Organic",0.592982502711916,0.348662129547955,738763.875,5354353.875,4615590,"C44H84N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"59","DGTSA(16:0/18:2)","Mineral",0.841795001744905,0.110294357898134,521232.285416667,7954689.88541667,7433457.6,"C44H82N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"60","DGTSA(16:0/18:2)","Organic",0.330578414108372,0.598360759664068,2898382.41666667,9625310.54166667,6726928.125,"C44H82N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"61","DGTSA(16:0/18:3)_A","Mineral",0.0153681155131994,1.337380616445,230471.226555667,370091.007816667,139619.781261,NA,NA,NA,NA
"62","DGTSA(16:0/18:3)_A","Organic",0.565907982548411,0.402253950895277,194889.64799,765330.97925,570441.33126,NA,NA,NA,NA
"63","DGTSA(16:0/18:3)_B","Mineral",0.341888679164119,0.683444774647642,1011934.39176967,1202091.88151667,190157.489747,NA,NA,NA,NA
"64","DGTSA(16:0/18:3)_B","Organic",0.171621297348401,0.825669957651226,225350.643877333,303827.903643333,78477.259766,NA,NA,NA,NA
"65","DGTSA(16:0/18:4)","Mineral",0.456927851367373,0.488837829548445,56375.3681093333,132424.858733333,76049.490624,NA,NA,NA,NA
"66","DGTSA(16:0/18:4)","Organic",0.0253658763102712,1.2777953720331,123113.046364667,230979.721366667,107866.675002,NA,NA,NA,NA
"67","DGTSA(16:0/19:1);DGTSA(16:1/19:0)","Mineral",0.278927399759477,0.608917155322218,137312.293826667,670133.640716667,532821.34689,NA,NA,NA,NA
"68","DGTSA(16:0/19:1);DGTSA(16:1/19:0)","Organic",0.155304732894562,0.861418149372246,108081.548966667,467091.020866667,359009.4719,NA,NA,NA,NA
"69","DGTSA(16:1/16:1)","Mineral",0.0409196441845402,1.21107221481355,690688.426036667,1752674.47916667,1061986.05313,"C42H78N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"70","DGTSA(16:1/16:1)","Organic",0.0405044347857937,1.17492357317529,1529501.09583333,3296060.20833333,1766559.1125,"C42H78N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"71","DGTSA(16:1/18:1)_A","Mineral",0.0402446037976429,1.26019296408107,883036.210416666,2105736.22916667,1222700.01875,NA,NA,NA,NA
"72","DGTSA(16:1/18:1)_A","Organic",0.173529338922364,0.93976661456264,749955.466666667,2831969.91666667,2082014.45,NA,NA,NA,NA
"73","DGTSA(16:1/18:1)_B","Mineral",0.158803643739397,0.673472577919802,162986.02913,511331.9167,348345.88757,NA,NA,NA,NA
"74","DGTSA(16:1/18:1)_B","Organic",0.410595779624433,0.517766090640092,106540.573966667,688706.411466667,582165.8375,NA,NA,NA,NA
"75","DGTSA(16:1/18:2)","Mineral",0.256510414127571,0.764839156954349,283255.716471667,512036.996761667,228781.28029,NA,NA,NA,NA
"76","DGTSA(16:1/18:2)","Organic",0.0531637162813164,1.13074589298813,385707.640611333,601401.554683333,215693.914072,NA,NA,NA,NA
"77","DGTSA(17:0/17:0)","Mineral",0.369990872061198,0.530109094405188,366052,2097422.3125,1731370.3125,"C44H86N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"78","DGTSA(17:0/17:0)","Organic",0.496762657027955,-0.435514410786126,-132514.235416667,1138789.36458333,1271303.6,"C44H86N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"79","DGTSA(17:0/19:0)","Mineral",0.89852220981525,0.0678505189818931,33928.4166666667,1237889.32291667,1203960.90625,"C46H90N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"80","DGTSA(17:0/19:0)","Organic",0.0572419755727436,-1.20029159265297,-212575.415626667,422784.640633333,635360.05626,"C46H90N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"81","DGTSA(18:0/18:1)","Mineral",0.295234453737503,0.706101432048818,219475.6375,853427.84375,633952.20625,"C46H88N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"82","DGTSA(18:0/18:1)","Organic",0.236456573386976,0.747173136865804,172934.66875,809741.96875,636807.3,"C46H88N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"83","DGTSA(18:0/18:2);DGTSA(18:1/18:1)","Mineral",0.253804615160195,0.70868393640677,602223.991656667,1507512.41666667,905288.42501,NA,NA,NA,NA
"84","DGTSA(18:0/18:2);DGTSA(18:1/18:1)","Organic",0.210143069775702,0.756960466065972,820982.9249,2006764.375,1185781.4501,NA,NA,NA,NA
"85","DGTSA(18:1/18:1)","Mineral",0.675144307059763,0.297552771817009,812934.983333333,7680510.83333333,6867575.85,"C46H86N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"86","DGTSA(18:1/18:1)","Organic",0.51486485920126,0.424461077610158,666983.133333333,5919137.83333333,5252154.7,"C46H86N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"87","DGTSA(18:1/18:2)","Mineral",0.142198025137631,0.893286525466009,582175.628113333,1242488.36718333,660312.73907,NA,NA,NA,NA
"88","DGTSA(18:1/18:2)","Organic",0.0516255528331588,1.1301847008557,953482.729156667,1850125.26041667,896642.53126,"C46H84N1O7","Glycerolipids [GL]","Other Glycerolipids [GL00]",NA
"89","DGTSA(35:0)","Mineral",0.777422444253084,-0.158515783903425,-93679.1708333332,1410211.91666667,1503891.0875,NA,NA,NA,NA
"90","DGTSA(35:0)","Organic",0.0857645589454819,-1.07191664554773,-256964.762683333,631305.750016667,888270.5127,NA,NA,NA,NA
"91","HexCer(d18:2/16:1)_A","Mineral",0.25329687216157,0.701280360016012,89848.9859466666,412742.085966667,322893.10002,NA,NA,NA,NA
"92","HexCer(d18:2/16:1)_A","Organic",0.0026961714351656,1.53081948702711,507007.458323333,989989.864583333,482982.40626,NA,NA,NA,NA
"93","HexCer(d18:2/16:1)_B","Mineral",0.591968662500819,0.308016059930559,21247.4619366667,234337.979166667,213090.51723,NA,NA,NA,NA
"94","HexCer(d18:2/16:1)_B","Organic",0.00312430387376722,1.56500048326047,404240.252156667,782918.270916667,378678.01876,NA,NA,NA,NA
"95","HexCer(d18:2/18:1)","Mineral",0.783258272104172,-0.148217860913278,-31481.2246166667,226220.251953333,257701.47657,NA,NA,NA,NA
"96","HexCer(d18:2/18:1)","Organic",0.516728319559618,0.397503863771705,106137.45312,341106.3594,234968.90628,NA,NA,NA,NA
"97","HexCer(d34:3)","Mineral",0.051713028005245,1.19486476857141,314398.556523333,561889.229183333,247490.67266,NA,NA,NA,NA
"98","HexCer(d34:3)","Organic",0.178607213570331,0.816891760697408,116018.71565,389215.64065,273196.925,NA,NA,NA,NA
"99","PC(0:0/18:1)","Mineral",0.540573598093975,0.373037172977482,75774.6118463333,271827.536463333,196052.924617,NA,NA,NA,NA
"100","PC(0:0/18:1)","Organic",0.472240917025347,0.491584875978251,63838.0849183333,231012.520858333,167174.43594,NA,NA,NA,NA
"101","PC(15:0/16:1)","Mineral",0.510951508572194,0.370557601460118,115269.142706667,692816.192716667,577547.05001,NA,NA,NA,NA
"102","PC(15:0/16:1)","Organic",0.14337900731398,0.928862208413479,193219.411454,588324.8021,395105.390646,NA,NA,NA,NA
"103","PC(16:0/18:2)","Mineral",0.0716981071594295,1.10651709002085,1199381.61666667,2651229.79166667,1451848.175,"C42H81N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"104","PC(16:0/18:2)","Organic",0.0381911450645471,1.21795572621918,1605964.79166667,4001017.04166667,2395052.25,NA,NA,NA,NA
"105","PC(16:1/16:1)","Mineral",0.24929121620471,0.725031929567452,235634.523443333,762733.046883333,527098.52344,"C40H77N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"106","PC(16:1/16:1)","Organic",0.202134808094152,0.828404230712439,141072.502063333,566551.927083333,425479.42502,NA,NA,NA,NA
"107","PC(16:1/18:1)","Mineral",0.241029935730734,0.724533918615711,1066218.725,3757349.625,2691130.9,"C42H81N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"108","PC(16:1/18:1)","Organic",0.0920381256772609,1.07703543506439,963217.833333333,3097916.58333333,2134698.75,NA,NA,NA,NA
"109","PC(17:1/19:1)","Mineral",0.677306497236746,0.238435193340569,1293969.46666667,12688585.1666667,11394615.7,"C44H85N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"110","PC(17:1/19:1)","Organic",0.95460885604449,0.0401899951710064,71315.8833333328,7917432.08333333,7846116.2,"C44H85N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"111","PC(18:1/18:1)_A","Mineral",0.595444050187044,0.24008035220523,51292.9317933333,475027.317733333,423734.38594,NA,NA,NA,NA
"112","PC(18:1/18:1)_A","Organic",0.432845214548077,0.528185258132194,50253.7614766666,409640.989616667,359387.22814,NA,NA,NA,NA
"113","PC(18:1/18:1)_B","Mineral",0.740356314835643,0.158382976487024,19945.373945,237711.5599,217766.185955,NA,NA,NA,NA
"114","PC(18:1/18:1)_B","Organic",0.701054677107003,0.252705511692223,28923.1078266666,373686.835966667,344763.72814,NA,NA,NA,NA
"115","PC(18:1/18:2)_A","Mineral",0.121455919371448,1.0431524330021,1357051.0125,2695473.4375,1338422.425,NA,NA,NA,NA
"116","PC(18:1/18:2)_A","Organic",0.0272300547193922,1.28741242404848,1332710.00833333,4227203.70833333,2894493.7,NA,NA,NA,NA
"117","PC(18:1/18:2)_B","Mineral",0.423717505168937,-0.34174825816102,-1072972.28333333,3069072.91666667,4142045.2,NA,NA,NA,NA
"118","PC(18:1/18:2)_B","Organic",0.011134711978461,-1.52487451593705,-1106284.05808333,1153360.04191667,2259644.1,NA,NA,NA,NA
"119","PC(18:1/19:1)","Mineral",0.166399089182198,0.717110477224681,2014494.225,8024640.25,6010146.025,"C45H87N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"120","PC(18:1/19:1)","Organic",0.648072907253691,-0.328847828564981,-519711.158333333,4501530.29166667,5021241.45,NA,NA,NA,NA
"121","PC(18:1/20:4)","Mineral",0.147062092413599,0.912732620982117,147543.146873333,428652.476583333,281109.32971,NA,NA,NA,NA
"122","PC(18:1/20:4)","Organic",0.107294594986188,1.00919671491473,220008.60936,707240.1875,487231.57814,"C46H83N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"123","PC(18:2/18:2)","Mineral",0.0161638897900741,1.43343403153932,2590098.96041667,4347995.91666667,1757896.95625,"C44H81N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"124","PC(18:2/18:2)","Organic",0.0356422682267983,1.19360593412319,3177733.825,7147249,3969515.175,"C44H81N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"125","PC(19:1/0:0)","Mineral",0.982903517262855,-0.011410454909106,-3041.25414300006,290281.62242,293322.876563,"C27H55N1O7P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Monoacylglycerophosphocholines [GP0105]"
"126","PC(19:1/0:0)","Organic",0.0576810632701128,1.09768748770092,44470.9425863333,79818.6308683333,35347.688282,NA,NA,NA,NA
"127","PC(19:1/19:1)","Mineral",0.585805236890939,0.275652515142097,3336666.66666666,38966666.6666667,35630000,"C46H89N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
