"","Control","Heated","pvalues","V4","V5","Diff"
"318","C_O.PE(35:2)","H_O.PE(35:2)",0.278098749596656,3040074.3125,2579219.45,460854.8625
"299","C_M.PE(17:1/18:1);PE(16:1/19:1)_A","H_M.PE(17:1/18:1);PE(16:1/19:1)_A",0.280521021210677,1713835.53125,1322037.88438,391797.64687
"263","C_M.PE(15:1/16:1)_A","H_M.PE(15:1/16:1)_A",0.280621894314578,454104.890633333,359622.32813,94482.562503333
"337","C_M.PG(15:0/16:0)_B","H_M.PG(15:0/16:0)_B",0.281869588106023,936556.143233333,721292.361726,215263.781507333
"58","C_O.DGTSA(16:0/18:3)_A","H_O.DGTSA(16:0/18:3)_A",0.282953991274205,765330.97925,570441.33126,194889.64799
"331","C_M.PE(P-16:0/16:1)","H_M.PE(P-16:0/16:1)",0.291273658350068,1217880.44791667,984959.77189,232920.67602667
"123","C_M.PC(19:1/19:1)","H_M.PC(19:1/19:1)",0.29290261844547,38966666.6666667,35630000,3336666.6666667
"243","C_M.PE(14:0/16:1);PE(15:0/15:1)_B","H_M.PE(14:0/16:1);PE(15:0/15:1)_B",0.293060177575824,1406663.60416667,1108775.30314,297888.30102667
"357","C_M.PG(16:0/18:1);PG(16:1/18:0)","H_M.PG(16:0/18:1);PG(16:1/18:0)",0.294523217016714,1880961.14583333,1431986.68756,448974.45827333
"130","C_O.TG(46:3)","H_O.TG(46:3)",0.294648478723241,209858.565116667,189413.79064,20444.774476667
"125","C_M.PC(20:4/20:4)","H_M.PC(20:4/20:4)",0.295742887405352,186091.4779,159829.232055,26262.245845
"89","C_M.HexCer(d18:2/16:1)_B","H_M.HexCer(d18:2/16:1)_B",0.29598433125041,234337.979166667,213090.51723,21247.461936667
"54","C_O.DGTSA(16:0/18:1)","H_O.DGTSA(16:0/18:1)",0.296491251355958,5354353.875,4615590,738763.875
"107","C_M.PC(18:1/18:1)_A","H_M.PC(18:1/18:1)_A",0.297722025093522,475027.317733333,423734.38594,51292.931793333
"137","C_M.TG(48:0)","H_M.TG(48:0)",0.297874144701155,687776.531266667,576264.17501,111512.356256667
"45","C_M.DGTSA(15:0/17:0)","H_M.DGTSA(15:0/17:0)",0.30708386549149,698969.640633333,639110.82813,59858.812503333
"142","C_O.TG(48:2)","H_O.TG(48:2)",0.311350839229023,4637111.25,4102375.2,534736.05
"327","C_M.PE(O-16:0/15:1)","H_M.PE(O-16:0/15:1)",0.311531031189366,599571.429696667,472021.761716,127549.667980667
"354","C_O.PG(16:0/17:0)","H_O.PG(16:0/17:0)",0.311756407574692,195070.997085,155683.187906,39387.809179
"383","C_M.PI(16:0/17:0)","H_M.PI(16:0/17:0)",0.312307913756409,74118.754395,51067.5040528,23051.2503422
"325","C_M.PE(O-15:0/15:1)_B","H_M.PE(O-15:0/15:1)_B",0.312700293893071,2169771.3125,1642568.97188,527202.34062
"215","C_M.TG(56:8)","H_M.TG(56:8)",0.31303524599864,352402.864598333,234908.146115,117494.718483333
"140","C_O.TG(48:1)","H_O.TG(48:1)",0.313993588826543,2348766.16666667,2098956.35,249809.81666667
"138","C_O.TG(48:0)","H_O.TG(48:0)",0.315009194011258,450100.1797,405803.11252,44297.06718
"303","C_M.PE(18:1/18:1)","H_M.PE(18:1/18:1)",0.322990792144105,11758351.75,9929075,1829276.75
"332","C_O.PE(P-16:0/16:1)","H_O.PE(P-16:0/16:1)",0.324691107864487,1066042.01041667,871321.875,194720.13541667
"373","C_M.PG(18:0/18:1)","H_M.PG(18:0/18:1)",0.32506854351086,292973.804716667,243080.942194,49892.862522667
"319","C_M.PE(36:1)","H_M.PE(36:1)",0.325843122516414,964168.114583333,829367.2,134800.914583333
"228","C_O.TG(59:2)","H_O.TG(59:2)",0.329982824245827,85790.2565133333,78124.832032,7665.42448133329
"202","C_O.TG(56:1)","H_O.TG(56:1)",0.335825986619736,111589.457051667,103834.96405,7754.49300166701
"81","C_M.DGTSA(18:1/18:1)","H_M.DGTSA(18:1/18:1)",0.337572153529881,7680510.83333333,6867575.85,812934.983333331
"105","C_M.PC(17:1/19:1)","H_M.PC(17:1/19:1)",0.338653248618373,12688585.1666667,11394615.7,1293969.4666667
"198","C_O.TG(54:7)","H_O.TG(54:7)",0.339892256473137,602811.697933333,564327.39376,38484.304173333
"186","C_O.TG(54:1)","H_O.TG(54:1)",0.343956786794713,506814.661466667,432553.11876,74261.542706667
"336","C_O.PG(15:0/16:0)_A","H_O.PG(15:0/16:0)_A",0.345630754587946,234432.29819,198104.895328,36327.402862
"204","C_O.TG(56:2)","H_O.TG(56:2)",0.345793884418923,432519.255233333,403266.44064,29252.814593333
"110","C_O.PC(18:1/18:1)_B","H_O.PC(18:1/18:1)_B",0.350527338553501,373686.835966667,344763.72814,28923.107826667
"170","C_O.TG(52:4)","H_O.TG(52:4)",0.354189558662591,5035799.58333333,4770548.55,265251.03333333
"178","C_O.TG(53:3)","H_O.TG(53:3)",0.354300798477425,1102531.20833333,1070198.3625,32332.8458333299
"17","C_M.DG(17:0/0:0/17:0)","H_M.DG(17:0/0:0/17:0)",0.361886031636949,255497.02085,240616.65627,14880.36458
"109","C_M.PC(18:1/18:1)_B","H_M.PC(18:1/18:1)_B",0.370178157417821,237711.5599,217766.185955,19945.373945
"297","C_M.PE(17:1/17:1)","H_M.PE(17:1/17:1)",0.370274921756886,999224.375,904026.95938,95197.41562
"359","C_M.PG(16:0/19:1)","H_M.PG(16:0/19:1)",0.373599624376357,604274.8204,527853.264861,76421.555539
"323","C_M.PE(O-15:0/15:1)_A","H_M.PE(O-15:0/15:1)_A",0.37992004611311,1895088.14583333,1646959.02818,248129.11765333
"156","C_O.TG(50:4)","H_O.TG(50:4)",0.380048425985476,516122.354183333,467658.53128,48463.822903333
"29","C_M.DGDG(15:0/16:1)","H_M.DGDG(15:0/16:1)",0.386548058402454,250710.588566667,235718.5258,14992.062766667
"288","C_O.PE(16:1/18:1)","H_O.PE(16:1/18:1)",0.386999370788569,3816350.0625,3472595.575,343754.4875
"376","C_O.PG(18:1/18:1)","H_O.PG(18:1/18:1)",0.390751584469472,1966766.46355,1762157.325,204609.13855
"143","C_M.TG(48:3)","H_M.TG(48:3)",0.395646254864786,4063777.83333333,3770169.1375,293608.69583333
"160","C_O.TG(51:2)","H_O.TG(51:2)",0.398053535692057,1035130.57291667,1001842.55,33288.02291667
"254","C_O.PE(15:0/16:1)_B","H_O.PE(15:0/16:1)_B",0.404036813913561,927336.385433333,858198.91876,69137.466673333
"132","C_O.TG(47:1)","H_O.TG(47:1)",0.405012283843478,394668.14065,378607.50004,16060.64061
"20","C_O.DG(18:1/0:0/18:1)","H_O.DG(18:1/0:0/18:1)",0.408200629264097,1427589.46875,1336923.2875,90666.1812499999
"55","C_M.DGTSA(16:0/18:2)","H_M.DGTSA(16:0/18:2)",0.420897500872453,7954689.88541667,7433457.6,521232.28541667
"257","C_M.PE(15:0/17:1)","H_M.PE(15:0/17:1)",0.421676645733164,5898201.70833333,5510919.45,387282.25833333
"293","C_M.PE(17:0/17:0)","H_M.PE(17:0/17:0)",0.432240529177846,2088951.16666667,1982379.50625,106571.66041667
"154","C_O.TG(50:3)","H_O.TG(50:3)",0.43782734072905,2194403.39583333,2108699.95,85703.44583333
"176","C_O.TG(53:2)","H_O.TG(53:2)",0.438206790183885,683221.239583333,672036.9375,11184.302083333
"207","C_M.TG(56:5)","H_M.TG(56:5)",0.439121373439485,665724.687516667,627438.37345,38286.314066667
"302","C_O.PE(17:1/19:1)","H_O.PE(17:1/19:1)",0.443647330792327,3131549.85416667,2999067.4,132482.45416667
"75","C_M.DGTSA(17:0/19:0)","H_M.DGTSA(17:0/19:0)",0.449261104907625,1237889.32291667,1203960.90625,33928.41666667
"277","C_M.PE(16:0/19:1)","H_M.PE(16:0/19:1)",0.450201725121227,2456710.79166667,2352527.35005,104183.44161667
"42","C_O.DGDG(19:1/19:1)","H_O.DGDG(19:1/19:1)",0.453147154588567,5030029.54166667,4987902.8,42126.74166667
"255","C_M.PE(15:0/17:0)","H_M.PE(15:0/17:0)",0.455227965659214,3486328.91666667,3347583.075,138745.84166667
"315","C_M.PE(19:1/19:1)","H_M.PE(19:1/19:1)",0.458754579108154,4004403.4375,3873405.2875,130998.15
"280","C_O.PE(16:1/16:1)","H_O.PE(16:1/16:1)",0.469701162739132,4433039.4375,4338840.85,94198.5875000004
"106","C_O.PC(17:1/19:1)","H_O.PC(17:1/19:1)",0.477304428022245,7917432.08333333,7846116.2,71315.88333333
"375","C_M.PG(18:1/18:1)","H_M.PG(18:1/18:1)",0.479352740102455,1850550.27083333,1808139.43761,42410.8332233301
"268","C_O.PE(15:1/17:1)","H_O.PE(15:1/17:1)",0.483025470863422,484517.557291667,471262.5344,13255.022891667
"267","C_M.PE(15:1/17:1)","H_M.PE(15:1/17:1)",0.485483529002321,831730.861983333,818042.93281,13687.929173333
"224","C_O.TG(58:3)","H_O.TG(58:3)",0.488720954051243,149137.394548333,148455.45,681.944548332976
"241","C_M.PE(14:0/16:1);PE(15:0/15:1)_A","H_M.PE(14:0/16:1);PE(15:0/15:1)_A",0.489204177416606,1442097.21875,1426665.60313,15431.6156200001
"321","C_M.PE(O-15:0/15:0)","H_M.PE(O-15:0/15:0)",0.489417389650004,2241152.05208333,2215012.40625,26139.6458333302
"146","C_O.TG(49:1)","H_O.TG(49:1)",0.494517392771407,475850.77085,474777.01252,1073.75832999998
"210","C_O.TG(56:6)_A","H_O.TG(56:6)_A",0.49816247862092,260781.6771,260467.76878,313.908319999988
"200","C_O.TG(55:3)","H_O.TG(55:3)",0.500007733848661,312453.343783333,312454.07504,-0.731256667000707
"209","C_M.TG(56:6)_A","H_M.TG(56:6)_A",0.501469681724945,806817.398433333,807991.58907,-1174.19063666696
"310","C_O.PE(18:1/19:1)_A","H_O.PE(18:1/19:1)_A",0.505859723669891,1421266.46883333,1427700.55,-6434.08116666996
"121","C_M.PC(19:1/0:0)","H_M.PC(19:1/0:0)",0.508548241368572,290281.62242,293322.876563,-3041.254143
"196","C_O.TG(54:6)","H_O.TG(54:6)",0.512580991126892,7525484.25,7578160.7,-52676.4500000002
"188","C_O.TG(54:2)","H_O.TG(54:2)",0.513185663143374,3178070.66666667,3203764.175,-25693.50833333
"147","C_M.TG(49:2)","H_M.TG(49:2)",0.520745061076271,737920.104166667,747390.48125,-9470.37708333298
"295","C_M.PE(17:0/18:1)","H_M.PE(17:0/18:1)",0.52204093163096,1886591.44791667,1927768.25005,-41176.8021333299
"25","C_M.DGDG(14:0/18:1);DGDG(15:0/17:1)","H_M.DGDG(14:0/18:1);DGDG(15:0/17:1)",0.532840618953707,815625.020833333,825938.075,-10313.0541666669
"272","C_O.PE(16:0/17:1)","H_O.PE(16:0/17:1)",0.551668763090663,3039053.16666667,3206991.85,-167938.68333333
"269","C_M.PE(16:0/17:0)","H_M.PE(16:0/17:0)",0.554182791020789,746681.057316667,785429.21406,-38748.156743333
"192","C_O.TG(54:4)","H_O.TG(54:4)",0.558404477263624,10817589.8333333,11034709.3,-217119.4666667
"260","C_O.PE(15:0/17:1);PE(16:0/16:1)","H_O.PE(15:0/17:1);PE(16:0/16:1)",0.570797536739099,3106749.58333333,3345155.25,-238405.66666667
"284","C_O.PE(16:1/17:1)_A","H_O.PE(16:1/17:1)_A",0.577545160246351,1692070.29166667,1804270.8375,-112200.54583333
"190","C_O.TG(54:3)","H_O.TG(54:3)",0.578116503834517,13800000,14250476.6,-450476.6
"206","C_O.TG(56:3)","H_O.TG(56:3)",0.579631224496379,427599.463566667,448690.36252,-21090.898953333
"250","C_O.PE(15:0/16:0)","H_O.PE(15:0/16:0)",0.586244925010918,948275.546883333,1029787.2375,-81511.690616667
"236","C_O.Cer(d18:0/16:0)","H_O.Cer(d18:0/16:0)",0.594217223713467,545944.02605,601141.79376,-55197.76771
"164","C_O.TG(52:1)","H_O.TG(52:1)",0.60423338723826,739470.46875,801003.25002,-61532.78127
"244","C_O.PE(14:0/16:1);PE(15:0/15:1)_B","H_O.PE(14:0/16:1);PE(15:0/15:1)_B",0.607306063195204,917160.864583333,998913.6625,-81752.797916667
"150","C_O.TG(50:1)","H_O.TG(50:1)",0.608361911686102,870989.052083333,915364.15,-44375.097916667
"91","C_M.HexCer(d18:2/18:1)","H_M.HexCer(d18:2/18:1)",0.608370863947914,226220.251953333,257701.47657,-31481.224616667
"85","C_M.DGTSA(35:0)","H_M.DGTSA(35:0)",0.611288777873458,1410211.91666667,1503891.0875,-93679.1708333299
"247","C_M.PE(15:0/15:0)","H_M.PE(15:0/15:0)",0.618607523500789,3273296.64583333,3552257.5125,-278960.86666667
"34","C_O.DGDG(15:0/18:1)","H_O.DGDG(15:0/18:1)",0.618896316360069,244025.40625,264429.63126,-20404.22501
"183","C_M.TG(53:6)","H_M.TG(53:6)",0.622320146374036,199665.333366667,218440.344551,-18775.011184333
"8","C_O.DG(16:0/17:0/0:0)","H_O.DG(16:0/17:0/0:0)",0.631127736168317,375636.791683333,389739.60004,-14102.808356667
"252","C_O.PE(15:0/16:1)_A","H_O.PE(15:0/16:1)_A",0.638113034792888,7315217.70833333,8135392.8,-820175.09166667
"298","C_O.PE(17:1/17:1)","H_O.PE(17:1/17:1)",0.652925357593184,652321.89585,730114.7375,-77792.8416500001
"264","C_O.PE(15:1/16:1)_A","H_O.PE(15:1/16:1)_A",0.653629187730999,276952.777366667,318538.42502,-41585.647653333
"282","C_O.PE(16:1/17:0);PE(15:0/18:1)","H_O.PE(16:1/17:0);PE(15:0/18:1)",0.66131264147864,2872503.52083333,3386283.775,-513780.25416667
"232","C_O.TG(60:2)","H_O.TG(60:2)",0.664184035842933,145062.23567,161271.32344,-16209.08777
"168","C_O.TG(52:3)","H_O.TG(52:3)",0.666559605166367,6465538.08333333,6932490.7,-466952.61666667
"219","C_M.TG(58:11)","H_M.TG(58:11)",0.668052917643035,233420.121083333,328646.247674,-95226.126590667
"162","C_O.TG(51:4)","H_O.TG(51:4)",0.673222143939054,437776.520866667,487670.21252,-49893.691653333
"116","C_O.PC(18:1/19:1)","H_O.PC(18:1/19:1)",0.675963546373154,4501530.29166667,5021241.45,-519711.15833333
"152","C_O.TG(50:2)","H_O.TG(50:2)",0.689457147389068,2629554.9375,2846883.1,-217328.1625
"124","C_O.PC(19:1/19:1)","H_O.PC(19:1/19:1)",0.689964569568506,28383333.3333333,30140000,-1756666.6666667
"238","C_O.Cer(d18:1/16:0)","H_O.Cer(d18:1/16:0)",0.691412325233092,320101.76565,403570.14062,-83468.37497
"242","C_O.PE(14:0/16:1);PE(15:0/15:1)_A","H_O.PE(14:0/16:1);PE(15:0/15:1)_A",0.696912157941904,971002.114583333,1115693.525,-144691.410416667
"2","C_O.CoQ10","H_O.CoQ10",0.704694668312566,1208233.80208333,1272505.6626,-64271.8605166699
"274","C_O.PE(16:0/18:1);PE(15:0/19:1)","H_O.PE(16:0/18:1);PE(15:0/19:1)",0.714149203702905,2066898.375,2707829.025,-640930.65
"212","C_O.TG(56:6)_B","H_O.TG(56:6)_B",0.715900389845483,363989.895866667,390246.78752,-26256.891653333
"7","C_M.DG(16:0/17:0/0:0)","H_M.DG(16:0/17:0/0:0)",0.719761139027829,292621.252616667,329960.27345,-37339.020833333
"158","C_O.TG(51:1)","H_O.TG(51:1)",0.7260323421966,312246.9922,343015.20002,-30768.20782
"324","C_O.PE(O-15:0/15:1)_A","H_O.PE(O-15:0/15:1)_A",0.726747588201713,978112.677083333,1309876.55,-331763.872916667
"300","C_O.PE(17:1/18:1);PE(16:1/19:1)_A","H_O.PE(17:1/18:1);PE(16:1/19:1)_A",0.736152555786952,892535.192716667,1109439.75,-216904.557283333
"261","C_M.PE(15:0/18:0);PE(16:0/17:0)","H_M.PE(15:0/18:0);PE(16:0/17:0)",0.739464363763073,757731.752616667,1068858.86719,-311127.114573333
"26","C_O.DGDG(14:0/18:1);DGDG(15:0/17:1)","H_O.DGDG(14:0/18:1);DGDG(15:0/17:1)",0.743194800505003,545654.2448,605178.95,-59524.7052
"48","C_O.DGTSA(16:0/16:1)_A","H_O.DGTSA(16:0/16:1)_A",0.745621481072035,723395.3125,793043.1375,-69647.825
"218","C_O.TG(58:1)","H_O.TG(58:1)",0.746132309267496,50616.3014333333,57566.990628,-6950.6891946667
"329","C_M.PE(O-17:0/17:0)","H_M.PE(O-17:0/17:0)",0.74698252571253,1612752.44791667,2163806.87501,-551054.42709333
"27","C_M.DGDG(15:0/15:0)","H_M.DGDG(15:0/15:0)",0.74769550994445,375890.64325,423328.47189,-47437.82864
"294","C_O.PE(17:0/17:0)","H_O.PE(17:0/17:0)",0.748802916055886,1409610.125,2007472.3625,-597862.2375
"296","C_O.PE(17:0/18:1)","H_O.PE(17:0/18:1)",0.750371855906768,1136537.38541667,1602936.60626,-466399.22084333
"74","C_O.DGTSA(17:0/17:0)","H_O.DGTSA(17:0/17:0)",0.751618671486022,1138789.36458333,1271303.6,-132514.23541667
"194","C_O.TG(54:5)","H_O.TG(54:5)",0.751624118127974,8495128.58333333,9170539.2,-675410.616666669
"258","C_O.PE(15:0/17:1)","H_O.PE(15:0/17:1)",0.755155394909079,3922535.1875,4880158.2,-957623.0125
"304","C_O.PE(18:1/18:1)","H_O.PE(18:1/18:1)",0.762980538473499,6831352.41666667,8957986.85,-2126634.43333333
"320","C_O.PE(36:1)","H_O.PE(36:1)",0.772557486208337,575511.89585,769434.94376,-193923.04791
"316","C_O.PE(19:1/19:1)","H_O.PE(19:1/19:1)",0.774053704508853,2934027.10416667,3667954.125,-733927.02083333
"312","C_O.PE(18:1/19:1)_B","H_O.PE(18:1/19:1)_B",0.778052534538023,3321787.79166667,4178131.375,-856343.58333333
"270","C_O.PE(16:0/17:0)","H_O.PE(16:0/17:0)",0.781377306672128,456814.476566667,766821.48126,-310007.004693333
"113","C_M.PC(18:1/18:2)_B","H_M.PC(18:1/18:2)_B",0.788141247415532,3069072.91666667,4142045.2,-1072972.28333333
"292","C_O.PE(16:1/19:1)_B","H_O.PE(16:1/19:1)_B",0.788724001203356,392428.372416667,574721.37502,-182293.002603333
"256","C_O.PE(15:0/17:0)","H_O.PE(15:0/17:0)",0.791322518734477,1874775.5105,2997505.15,-1122729.6395
"166","C_O.TG(52:2)","H_O.TG(52:2)",0.807005228243547,6499513.16666667,7478957.2,-979444.03333333
"322","C_O.PE(O-15:0/15:0)","H_O.PE(O-15:0/15:0)",0.808510317665545,1205221.89591667,2100913.525,-895691.62908333
"307","C_M.PE(18:1/18:2)_B","H_M.PE(18:1/18:2)_B",0.811649851021167,2667948.86458333,4331397.6875,-1663448.82291667
"230","C_O.TG(59:3)","H_O.TG(59:3)",0.811936456642832,55577.4231766667,64200.204688,-8622.7815113333
"326","C_O.PE(O-15:0/15:1)_B","H_O.PE(O-15:0/15:1)_B",0.822635749687687,747723.919266667,1164669.53752,-416945.618253333
"328","C_O.PE(O-16:0/15:1)","H_O.PE(O-16:0/15:1)",0.823889531112714,215329.382486667,406328.299998,-190998.917511333
"184","C_O.TG(53:6)","H_O.TG(53:6)",0.82434155476684,476004.9922,717238.7125,-241233.7203
"278","C_O.PE(16:0/19:1)","H_O.PE(16:0/19:1)",0.833459641252261,1645233.60425,2331522.625,-686289.02075
"33","C_M.DGDG(15:0/18:1)","H_M.DGDG(15:0/18:1)",0.834192951825671,306879.2448,377752.20939,-70872.96459
"262","C_O.PE(15:0/18:0);PE(16:0/17:0)","H_O.PE(15:0/18:0);PE(16:0/17:0)",0.849424182618424,257042.783855,1092489.39062,-835446.606765
"28","C_O.DGDG(15:0/15:0)","H_O.DGDG(15:0/15:0)",0.870956249769264,195924.209633333,254117.5125,-58193.302866667
"248","C_O.PE(15:0/15:0)","H_O.PE(15:0/15:0)",0.874231549936024,2191427.85416667,3599279.2,-1407851.34583333
"308","C_O.PE(18:1/18:2)_B","H_O.PE(18:1/18:2)_B",0.882695930405947,1537061.69791667,3320848.8,-1783787.10208333
"36","C_O.DGDG(15:0/19:1)","H_O.DGDG(15:0/19:1)",0.883896167971511,155919.235683333,244988.78752,-89069.551836667
"234","C_O.TG(60:3)","H_O.TG(60:3)",0.887024593482861,97605.839835,128146.857838,-30541.018003
"174","C_O.TG(53:1)","H_O.TG(53:1)",0.895981865009891,141179.181001667,226393.03128,-85213.850278333
"148","C_O.TG(49:2)","H_O.TG(49:2)",0.900154053806681,560040.598966667,707271.75626,-147231.157293333
"216","C_O.TG(56:8)","H_O.TG(56:8)",0.90153269737856,85782.1061266667,129916.687498,-44134.5813713333
"31","C_M.DGDG(15:0/17:0)","H_M.DGDG(15:0/17:0)",0.915929095962034,717704.4948,965334.85625,-247630.36145
"330","C_O.PE(O-17:0/17:0)","H_O.PE(O-17:0/17:0)",0.923783531098263,911138.479166667,1734732.74376,-823594.264593333
"208","C_O.TG(56:5)","H_O.TG(56:5)",0.941145951208782,252179.760433333,306220.08126,-54040.320826667
"46","C_O.DGTSA(15:0/17:0)","H_O.DGTSA(15:0/17:0)",0.941718651219168,316912.093766667,452542.96876,-135630.874993333
"32","C_O.DGDG(15:0/17:0)","H_O.DGDG(15:0/17:0)",0.954316089684629,351301.21615,572970.925,-221669.70885
"86","C_O.DGTSA(35:0)","H_O.DGTSA(35:0)",0.957117720527259,631305.750016667,888270.5127,-256964.762683333
"76","C_O.DGTSA(17:0/19:0)","H_O.DGTSA(17:0/19:0)",0.971379012213628,422784.640633333,635360.05626,-212575.415626667
"180","C_O.TG(53:4)","H_O.TG(53:4)",0.973247169692415,828832.333333333,1042767.6625,-213935.329166667
"35","C_M.DGDG(15:0/19:1)","H_M.DGDG(15:0/19:1)",0.974255377865977,354790.401083333,553387.53751,-198597.136426667
"182","C_O.TG(53:5)","H_O.TG(53:5)",0.98450001037362,416334.968766667,605734.1375,-189399.168733333
"226","C_O.TG(58:9)","H_O.TG(58:9)",0.984574440788974,153796.6693,202679.125,-48882.4557
"114","C_O.PC(18:1/18:2)_B","H_O.PC(18:1/18:2)_B",0.994432644010769,1153360.04191667,2259644.1,-1106284.05808333
