"","Control","Heated","pvalues","V4","V5","Diff"
"104","C_O.PC(16:1/18:1)","H_O.PC(16:1/18:1)",0.0460190628386304,3097916.58333333,2134698.75,963217.83333333
"275","C_M.PE(16:0/18:2);PE(16:1/18:1)","H_M.PE(16:0/18:2);PE(16:1/18:1)",0.0469259484855206,2962294.70833333,1616199.92813,1346094.78020333
"153","C_M.TG(50:3)","H_M.TG(50:3)",0.0475447767428802,4084238.875,2529410.975,1554827.9
"135","C_M.TG(47:3)","H_M.TG(47:3)",0.0477910950997188,239078.045593333,166702.578136,72375.467457333
"5","C_M.CoQ9","H_M.CoQ9",0.0492718125952649,819440.692733333,510695.68439,308745.008343333
"118","C_O.PC(18:1/20:4)","H_O.PC(18:1/20:4)",0.0536472974930938,707240.1875,487231.57814,220008.60936
"4","C_O.CoQ8","H_O.CoQ8",0.0546672644279831,481678.958333333,342240.75938,139438.198953333
"6","C_O.CoQ9","H_O.CoQ9",0.05512458872391,686280.3125,543950.95,142329.3625
"169","C_M.TG(52:4)","H_M.TG(52:4)",0.0562315561934527,6659945.75,4363289.575,2296656.175
"30","C_O.DGDG(15:0/16:1)","H_O.DGDG(15:0/16:1)",0.0572441653786562,373287.7344,265623.92814,107663.80626
"378","C_O.PG(18:1/19:1)","H_O.PG(18:1/19:1)",0.059461703215452,757247.545566667,386833.81876,370413.726806667
"111","C_M.PC(18:1/18:2)_A","H_M.PC(18:1/18:2)_A",0.0607279596857238,2695473.4375,1338422.425,1357051.0125
"382","C_O.PI(15:0/15:0)","H_O.PI(15:0/15:0)",0.0616886842428972,492864.601565,188627.998462,304236.603103
"338","C_O.PG(15:0/16:0)_B","H_O.PG(15:0/16:0)_B",0.0626345316741999,1122764.01823333,570232.09376,552531.92447333
"289","C_M.PE(16:1/18:2)","H_M.PE(16:1/18:2)",0.0633314022877747,258976.38415,156567.876576,102408.507574
"175","C_M.TG(53:2)","H_M.TG(53:2)",0.0636859247176206,808846.65625,548869.55626,259977.09999
"161","C_M.TG(51:4)","H_M.TG(51:4)",0.0643355403234576,713133.479166667,344116.02503,369017.454136667
"317","C_M.PE(35:2)","H_M.PE(35:2)",0.067421287939758,4440856.5,2663576.1375,1777280.3625
"205","C_M.TG(56:3)","H_M.TG(56:3)",0.0686772479001706,860750.697916667,621094.75158,239655.946336667
"12","C_O.DG(16:0/18:2/0:0)","H_O.DG(16:0/18:2/0:0)",0.070263041072509,1008788.80208333,558933.34376,449855.45832333
"14","C_O.DG(16:1/18:1/0:0)_A","H_O.DG(16:1/18:1/0:0)_A",0.070263041072509,1008788.80208333,558933.34376,449855.45832333
"83","C_M.DGTSA(18:1/18:2)","H_M.DGTSA(18:1/18:2)",0.0710990125688154,1242488.36718333,660312.73907,582175.62811333
"98","C_O.PC(15:0/16:1)","H_O.PC(15:0/16:1)",0.0716895036569901,588324.8021,395105.390646,193219.411454
"165","C_M.TG(52:2)","H_M.TG(52:2)",0.0718221833317232,9059524.75,7229118.9,1830405.85
"9","C_M.DG(16:0/18:1/0:0)","H_M.DG(16:0/18:1/0:0)",0.072399661435449,824187.145833333,650097.58751,174089.558323333
"151","C_M.TG(50:2)","H_M.TG(50:2)",0.0726647135138908,4717653.33333333,3254719.95,1462933.38333333
"193","C_M.TG(54:5)","H_M.TG(54:5)",0.0730852260533504,11513578.1666667,9345612.15,2167966.0166667
"117","C_M.PC(18:1/20:4)","H_M.PC(18:1/20:4)",0.0735310462067996,428652.476583333,281109.32971,147543.146873333
"49","C_M.DGTSA(16:0/16:1)_B","H_M.DGTSA(16:0/16:1)_B",0.0738349023217043,6228127.41666667,4564079.25,1664048.16666667
"177","C_M.TG(53:3)","H_M.TG(53:3)",0.073970738669418,1235098.36458333,832958.1125,402140.25208333
"3","C_M.CoQ8","H_M.CoQ8",0.0758094362757327,681446.135416667,463499.75003,217946.385386667
"64","C_O.DGTSA(16:0/19:1);DGTSA(16:1/19:0)","H_O.DGTSA(16:0/19:1);DGTSA(16:1/19:0)",0.0776523664472812,467091.020866667,359009.4719,108081.548966667
"341","C_M.PG(15:0/16:1)_B","H_M.PG(15:0/16:1)_B",0.0784220674972311,305312.490556667,124424.074417,180888.416139667
"69","C_M.DGTSA(16:1/18:1)_B","H_M.DGTSA(16:1/18:1)_B",0.0794018218696985,511331.9167,348345.88757,162986.02913
"171","C_M.TG(52:5)","H_M.TG(52:5)",0.0806078623391835,2206812.75,870195.13125,1336617.61875
"159","C_M.TG(51:2)","H_M.TG(51:2)",0.0814974374934656,1598899.86466667,925715.875,673183.98966667
"199","C_M.TG(55:3)","H_M.TG(55:3)",0.0816836156793118,337640.34115,265558.12658,72082.21457
"115","C_M.PC(18:1/19:1)","H_M.PC(18:1/19:1)",0.0831995445910991,8024640.25,6010146.025,2014494.225
"38","C_O.DGDG(18:1/18:1)","H_O.DGDG(18:1/18:1)",0.0838449800583379,492972.916683333,320891.7594,172081.157283333
"60","C_O.DGTSA(16:0/18:3)_B","H_O.DGTSA(16:0/18:3)_B",0.0858106486742003,303827.903643333,78477.259766,225350.643877333
"313","C_M.PE(18:2/18:2)","H_M.PE(18:2/18:2)",0.0861863730132086,2223335.23958333,1435345.38439,787989.85519333
"221","C_M.TG(58:2)","H_M.TG(58:2)",0.0867048569881757,364844.750033333,283821.70939,81023.040643333
"68","C_O.DGTSA(16:1/18:1)_A","H_O.DGTSA(16:1/18:1)_A",0.086764669461182,2831969.91666667,2082014.45,749955.46666667
"340","C_O.PG(15:0/16:1)_A","H_O.PG(15:0/16:1)_A",0.0874167754445774,422926.740893333,229793.309378,193133.431515333
"203","C_M.TG(56:2)","H_M.TG(56:2)",0.0874474001153125,566882.697933333,432985.98282,133896.715113333
"53","C_M.DGTSA(16:0/18:1)","H_M.DGTSA(16:0/18:1)",0.0882745969819553,3934657.45833333,2989672.6,944984.85833333
"201","C_M.TG(56:1)","H_M.TG(56:1)",0.0890843054275439,124507.048176667,99878.580477,24628.467699667
"94","C_O.HexCer(d34:3)","H_O.HexCer(d34:3)",0.0893036067851657,389215.64065,273196.925,116018.71565
"362","C_O.PG(16:1/16:1)","H_O.PG(16:1/16:1)",0.0906750411752564,396142.966155,204069.53752,192073.428635
"371","C_M.PG(17:1/19:1)","H_M.PG(17:1/19:1)",0.0976850092757655,276240.20835,139672.204695,136568.003655
"305","C_M.PE(18:1/18:2)_A","H_M.PE(18:1/18:2)_A",0.100433313686943,2052559.26041667,1047898.91564,1004660.34477667
