row m/z,row retention time,Name,Blanch_Nat_Lip_C_12_AB_M_17_NEG,Blanch_Nat_Lip_C_19_AB_O_26_NEG,Blanch_Nat_Lip_H_17_AB_O_22_NEG,Blanch_Nat_Lip_H_30_AB_M_11_NEG,Blanch_Nat_Lip_C_14_AB_M_27_NEG,Blanch_Nat_Lip_C_19_AB_M_16_NEG,Blanch_Nat_Lip_C_12_AB_O_25_NEG,Blanch_Nat_Lip_C_30_AB_M_14_NEG,Blanch_Nat_Lip_C_14_AB_O_09_NEG,Blanch_Nat_Lip_C_4_AB_M_08_NEG,Blanch_Nat_Lip_C_7_AB_M_07_NEG,Blanch_Nat_Lip_C_4_AB_O_04_NEG,Blanch_Nat_Lip_H_11_AB_O_24_NEG,Blanch_Nat_Lip_H_11_AB_M_13_NEG,Blanch_Nat_Lip_H_26_AB_M_12_NEG,Blanch_Nat_Lip_C_27_AB_O_21_NEG,Blanch_Nat_Lip_H_17_AB_M_18_NEG,Blanch_Nat_Lip_C_34_AB_O_10_NEG,Blanch_Nat_Lip_H_28_AB_M_03_NEG,Blanch_Nat_Lip_H_2B_M_02_NEG,Blanch_Nat_Lip_H_32_AB_O_19_NEG,Blanch_Nat_Lip_H_2_AB_O_15_NEG,Blanch_Nat_Lip_H_4_AB_O_06_NEG,Blanch_Nat_Lip_H_4_AB_M_05_NEG,Blanch_Nat_Lip_H_2_AB_M_23_NEG,Blanch_Nat_Lip_H_32_AB_M_20_NEG,Blanch_Nat_Lip_H_34_AB_M_01_NEG
742.5383682,21.03029006,PE(18:1/18:1),8034151.5,4728784.5,3780884.25,4020881.75,1.28E+07,5560561.5,4869064,1.34E+07,9398832,2.41E+07,1.19E+07,4639693,4530872.5,6782846,3625232.5,4169848.25,5183666,7576266,1.83E+07,2.68E+07,6575045.5,2.13E+07,6022282.5,8247943.5,1.67E+07,8438824,4133230
740.5226703,19.81828586,PE(18:1/18:2)_A,959917.5,1198275.625,1188894.875,482376.6563,933217.0625,799182.75,2685478,4994340.5,2185565,1804402.875,939613.4375,1305472.125,1041267,379472.9688,408394.625,1327029,491893.25,2318005.5,1448452,893551.1875,1178519.375,4122372.75,1423419.875,358779.875,975207.0625,1002932.625,220172.2813
740.52272,20.30077864,PE(18:1/18:2)_B,2685602,527351.625,823803.375,1427479.5,3163763,1581173,702207.4375,3548147,1830719.5,5216049,2817156,681785.5625,1763762.625,3848020.25,918821.6875,753639.625,2429117.5,712346.625,7953614.5,1.79E+07,2209529.75,6704612,2213493,3866232.25,6501913,1747100.875,620843.5625
756.553937,21.69807506,PE(18:1/19:1)_A,1158429.75,937067.5,677499.875,678788.625,2236905.25,1030570.438,929833.4375,2557263.25,2016185.375,4434022,2866351.75,788170.4375,747590.3125,1126376.875,473111.7813,697567.75,793383.9375,1723771.875,2237706,3526405.25,1108798.625,4983159,1289876.625,1338883.875,2622014.5,1594536.375,723844.25
756.5538857,22.07050043,PE(18:1/19:1)_B,3538816,2191588,1936572.375,2106878.5,5500875,2522738.25,3338194.75,5527971.5,4329392,1.08E+07,5390862.5,3042873.5,2157951.25,4089924,1681446.5,1990931.75,2354888.5,3043319.75,7348634.5,8533435,3375551.75,9132085,3040911,4159486,7174974,4405053,1839173.375
738.5070486,18.28930302,PE(18:2/18:2),850659.3125,2417135.75,1299985.375,3137318.75,2466288.75,2959569.25,5717207.5,2657940.25,4853890,3244168.5,2547486.5,1454658.875,798481.875,623987.625,281301.3438,1000992.125,519663.6563,2666295.75,1204675.875,1474362.25,2034665.375,4129436.75,1285776,300758.8438,710140.1875,742881.9375,441585.7813
770.5693455,22.89996284,PE(19:1/19:1),3074893.25,1595480.875,1665180.125,1653630.625,5365204.5,1830729,2680082.75,4437583.5,3798106.75,7033608.5,5144453.5,2164428.25,2555309.75,3882382.75,1372192.375,1473443.625,2653347.5,1950702.625,6212366,9768131,2778270.75,7485474.5,2829338.5,3746552.5,6312992.5,3886333.5,1354187.25
728.522861,20.58032167,PE(35:2),2190737.75,2758869,1704709.25,1220895,4259198.5,1708151.125,3860017.5,4219600,4900832.5,7969664,3677872.25,2496668.75,1334703.5,1522828.75,1449598.875,1704210,1142035.375,5509270,4485996,4770212.5,2212271,7702129.5,2217039,1789833.75,3671040.75,2698519.25,1240539.625
744.5540399,22.43066025,PE(36:1),625465.5625,320728.8125,252386.4063,298344.5,947488.25,369369.7188,516096.875,1377470.625,767063.1875,1678567.5,1078687,430285.1875,401125.7813,809249.625,280418.75,292424.25,496808.75,725731.5625,1503378.375,2167044.75,566328.875,1684025.25,475309.875,866076.875,1436165.625,750023.1875,262861.625
648.4969155,19.39856179,PE(O-15:0/15:0),1549669.125,760108.1875,631630.6875,936986.125,1788293.875,1020726.188,1448924.125,1804725.25,1157535.25,6159172,2173684,1242482.5,670353.625,2485014.75,1201985.375,704558.75,1733348.625,902569.5625,5571965,6097396.5,1600527.875,2663967.25,785936.3125,1697110,3929027.25,1817925.625,797311.5625
